#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,,,,,CoercivityHcExternal,Remanence,MaximumEnergyProduct,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,,,,,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,
#A / m,J / m,J / m3,rad,rad,rad,rad,A / m,A / m,J / m3,
Ms,A,K1,k1_theta,k1_phi,h_theta,h_phi,Hc,Mr,BHmax,file_path
2783202.694638382,3.4901563731779805e-12,7245314.785244101,0.,0.,0.0178887823,1.57079632679,2061056.5130400364,2773192.0259699537,2411415.339971925,data/289529_10/parameters.json
1986794.8513378373,2.1945672137904333e-12,565107.8500904969,0.,0.,0.0178887823,1.57079632679,55704.23008216397,229182.00292798076,823112.3746156513,data/289529_100/parameters.json
2672096.271619328,9.590274965786062e-12,2246812.229215476,0.,0.,0.0178887823,1.57079632679,413802.8520389287,2595801.773167234,2003515.6105359497,data/289529_101/parameters.json
377476.4070309517,5.778039497206589e-12,1996792.964410312,0.,0.,0.0178887823,1.57079632679,7535986.55540112,377413.0320824176,44748.0786944538,data/289529_102/parameters.json
1897380.3725373312,3.3010969822875965e-12,9791645.028272036,0.,0.,0.0178887823,1.57079632679,6016056.848873552,1896280.0552110288,1129566.1799968677,data/289529_103/parameters.json
303961.47938150447,2.2561450884031134e-12,1635766.2628804282,0.,0.,0.0178887823,1.57079632679,7655352.762720039,303912.0957256347,29005.84083277501,data/289529_104/parameters.json
3422178.74690865,8.24852177126648e-12,905929.9758892816,0.,0.,0.0178887823,1.57079632679,31830.98861837967,105708.28337336046,1779813.2195139667,data/289529_105/parameters.json
3014696.606637758,8.526519580971816e-12,2127035.555256936,0.,0.,0.0178887823,1.57079632679,175070.4374010855,2850573.8000873206,2323136.2437450234,data/289529_106/parameters.json
3433500.599385642,1.839567324056232e-12,2584586.0893511586,0.,0.,0.0178887823,1.57079632679,143239.44878270643,619503.6171746665,2602679.9552588467,data/289529_107/parameters.json
2618047.806200064,5.518210938138258e-12,7027594.47510796,0.,0.,0.0178887823,1.57079632679,2347535.410605442,2610220.447133618,2137435.1328287856,data/289529_108/parameters.json
2353328.5362430955,9.093865580099592e-12,8027672.317563174,0.,0.,0.0178887823,1.57079632679,3541197.483794632,2349618.1264559003,1733530.8117018729,data/289529_11/parameters.json
2521845.502272996,7.716023987352021e-13,9242441.248176392,0.,0.,0.0178887823,1.57079632679,3374084.7935481453,2517749.2521784417,1990435.409149193,data/289529_110/parameters.json
510321.0910347381,1.9005040383095725e-12,2376376.469649902,0.,0.,0.0178887823,1.57079632679,6429859.700912471,510223.63206774654,81775.91094941861,data/289529_112/parameters.json
3259182.3427812485,5.951682480765759e-13,6166002.775899122,0.,0.,0.0178887823,1.57079632679,763943.7268410987,3227906.5925097195,3235186.4649580363,data/289529_113/parameters.json
2763855.286030436,5.58714352870677e-12,5488962.993427574,0.,0.,0.0178887823,1.57079632679,1424436.740672465,2747663.89863583,2361324.428357353,data/289529_114/parameters.json
2624057.2484736466,2.0128921683195112e-12,2075547.4298146395,0.,0.,0.0178887823,1.57079632679,103450.71300973254,2515886.06968816,1814421.7394703035,data/289529_115/parameters.json
145137.7145518638,3.5754697643077998e-12,479122.176201653,0.,0.,0.0178887823,1.57079632679,4766690.5456022,145114.83017561465,6615.522683387922,data/289529_116/parameters.json
1863396.1606661647,9.745466015283178e-12,5461961.9095400665,0.,0.,0.0178887823,1.57079632679,3222887.597610848,1860892.4104611976,1087497.0814559618,data/289529_117/parameters.json
747675.9377882993,2.094571001145535e-12,4342465.019082594,0.,0.,0.0178887823,1.57079632679,7878169.683048688,747521.8768236362,175537.2852534966,data/289529_118/parameters.json
3811101.6910398966,8.007596523618913e-12,3036408.603038865,0.,0.,0.0178887823,1.57079632679,151197.19593730118,3472372.48070585,3459082.390329403,data/289529_119/parameters.json
3952414.2137044896,6.482660754392956e-12,1005845.6644813584,0.,0.,0.0178887823,1.57079632679,47746.48292756921,181985.22082058285,2026162.070310515,data/289529_12/parameters.json
2504638.240810682,4.801282987205385e-12,4218420.059466672,0.,0.,0.0178887823,1.57079632679,1169788.831725432,2487989.850904032,1933970.084097961,data/289529_120/parameters.json
1958236.3880649216,5.966206218587435e-12,5910162.051181798,0.,0.,0.0178887823,1.57079632679,3183098.8618378746,1955453.5469054675,1200783.9812490754,data/289529_121/parameters.json
3557262.88060154,7.747946665161706e-12,7210046.763363978,0.,0.,0.0178887823,1.57079632679,1177746.578880027,3524025.723510394,3861491.0371847055,data/289529_122/parameters.json
1084193.8735996487,3.297136521156291e-12,5009724.766887616,0.,0.,0.0178887823,1.57079632679,5952394.871636795,1083838.9282849918,369025.5363141314,data/289529_123/parameters.json
458003.4576057496,7.375895964920972e-12,2530852.1152131227,0.,0.,0.0178887823,1.57079632679,7846338.694430309,457924.087565099,65863.71349661866,data/289529_124/parameters.json
1863563.5826799877,4.7951865756265165e-12,2631413.1290428643,0.,0.,0.0178887823,1.57079632679,1153873.3374162426,1854019.5733033435,1076157.5631916393,data/289529_125/parameters.json
2069824.206191183,2.30195104461142e-12,9521670.133778838,0.,0.,0.0178887823,1.57079632679,5069084.937476794,2068190.099323036,1343571.4965825495,data/289529_126/parameters.json
3843886.2218418806,8.219878191795677e-13,4419684.43232987,0.,0.,0.0178887823,1.57079632679,405845.1048843339,1801445.453138074,3564918.767630199,data/289529_127/parameters.json
1148912.0678811786,3.3128159031896574e-12,3146827.151999908,0.,0.,0.0178887823,1.57079632679,3238803.0919200373,1148115.5742103795,414062.8196622345,data/289529_13/parameters.json
2105590.982863764,2.871696623482795e-12,6885575.573827218,0.,0.,0.0178887823,1.57079632679,3302465.069156794,2102584.5091972225,1388276.1547151173,data/289529_130/parameters.json
3407959.428569728,8.642900984156374e-12,2836678.041106495,0.,0.,0.0178887823,1.57079632679,190985.93171027504,3227743.828915104,2970519.596979364,data/289529_132/parameters.json
2075785.150218562,6.967504647013956e-13,8805007.215008743,0.,0.,0.0178887823,1.57079632679,4448380.659418416,2073900.2490652492,1350939.533027761,data/289529_133/parameters.json
2042657.674838429,7.021601121432727e-12,2504260.927590074,0.,0.,0.0178887823,1.57079632679,923098.6699329942,2026704.82118608,1281219.7629050557,data/289529_134/parameters.json
1320315.6513369302,4.04692951980459e-12,2093144.7277071544,0.,0.,0.0178887823,1.57079632679,1623380.4195373335,1317465.6037169846,544828.1522931842,data/289529_135/parameters.json
1999693.416127781,9.33521666833435e-12,3499787.255913145,0.,0.,0.0178887823,1.57079632679,1615422.672382739,1992113.3728726865,1244162.0681520682,data/289529_137/parameters.json
1067396.4414287892,9.892181338318244e-12,5050459.385788724,0.,0.,0.0178887823,1.57079632679,6294577.999284362,1067067.160784123,357691.843439078,data/289529_138/parameters.json
3871427.207028573,4.723593555499383e-12,4405670.135319042,0.,0.,0.0178887823,1.57079632679,119366.2073189221,3705515.7077321,3912891.51301939,data/289529_139/parameters.json
1417659.4838668422,8.438494999672953e-12,360137.143708704,0.,0.,0.0178887823,1.57079632679,143239.44878270643,1351348.02386908,529594.2368598594,data/289529_14/parameters.json
832731.3583708967,4.604632187181016e-12,3200179.4685199726,0.,0.,0.0178887823,1.57079632679,5092958.178940578,832482.7062161469,217700.0816535031,data/289529_140/parameters.json
