Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3511749575573836,0.010212296514617726,0.9995332924053553,0.00047677333044455355,0.9995344640562205,0.07866743265420593
random_forest,test,-0.3506905638213995,0.025625478633373534,0.9975484361943647,0.0021042857848315314,0.9975730338245216,0.19172219255182163
neural_network,train,-0.3509631627780342,0.11059010329737572,0.9768151848880104,0.023684854593160186,0.976873389444777,0.8144771668916386
neural_network,test,-0.350208092371907,0.12314213533934973,0.9519224556547564,0.041267085483458386,0.9524048390428358,0.9016433365270452
linear_regression,train,-0.3509397956643337,0.11203228255400419,0.9778573180476707,0.022620245182473183,0.9779129063705636,0.8187425498879056
linear_regression,test,-0.3505173725920675,0.10989027247249517,0.9764562635058083,0.02020863169568165,0.9766924882866864,0.8047253170630613
lasso,train,-0.3509315352819366,0.11370858366862911,0.9776017849110934,0.022881289540788517,0.9776580147397684,0.8303608509061166
lasso,test,-0.35051750012216976,0.1106288540074574,0.9762446223995754,0.02039029262994243,0.9764829706698138,0.8092421557298344
gaussian_process,train,-0.3511766747511172,2.3120466556814027e-07,0.9999999999996653,3.4187148880548234e-13,0.9999999999996662,1.745593957662611e-06
gaussian_process,test,-0.35069553789620744,0.011541317655025984,0.9985159386662467,0.0012738355662034403,0.9985308289137426,0.08816131951342755
