Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3643530910926533,0.04606459639720837,0.9973027158916837,0.0072627546438683264,0.9973094873162235,0.3779391146898331
random_forest,test,-0.3643665615376239,0.12149223750574692,0.9812802025500441,0.0524389405039689,0.981468026604726,1.0149600739424207
neural_network,train,-0.3642372552096788,0.15602322871003357,0.9754768500922767,0.06603146488182896,0.9755384144853505,1.2820079336440797
neural_network,test,-0.3643365952683711,0.14900364668993185,0.9743334815532807,0.07189848273570425,0.9745910051497361,1.2491158795495112
linear_regression,train,-0.36411067371417954,0.3097051462291539,0.9209956370564937,0.212728537599994,0.9211939743693226,2.4960300741362498
linear_regression,test,-0.36421339126663205,0.33217930426442205,0.8810300517377327,0.333265253289372,0.882223730148391,2.7690374537264932
lasso,train,-0.3641099195328378,0.31197995938089024,0.9208662569554289,0.21307690873632895,0.9210649190718587,2.5136998606278786
lasso,test,-0.3642112561880806,0.33503149667273835,0.8822689193194466,0.32979486833550375,0.8834501676205893,2.7874642859126966
gaussian_process,train,-0.364365344477425,1.957868831866018e-06,0.999999999990092,2.667844995333532e-11,0.9999999999901169,1.6485632519067016e-05
gaussian_process,test,-0.3644068732174938,0.07950255605367214,0.982872832162612,0.04797757762215498,0.9830446766559637,0.7132707006090075
