Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3491680284027738,0.038828140616217366,0.9846058877874039,0.016079512703092404,0.9846445340942137,0.3069405417857138
random_forest,test,-0.3495292443362257,0.1512209338838553,0.710168990613643,0.37720616620870684,0.7130769940523021,1.4561673210388992
neural_network,train,-0.34834109414031117,0.1950323877405954,0.874116267649255,0.13148852272170913,0.8744322937555749,1.4628017927139012
neural_network,test,-0.3492302821739774,0.2195166541035868,0.7301462039573324,0.3512064359767313,0.7328537671283291,1.9237439254599313
linear_regression,train,-0.34529772487226373,0.5152403678905418,0.567858850406957,0.4513816067109488,0.5689437235858517,3.8082523356915794
linear_regression,test,-0.346303800575058,0.5361153177690008,0.4824651559169242,0.6735557207260903,0.48765781321541657,4.239289344156324
lasso,train,-0.34524493972923703,0.5164332707507778,0.5676089444384331,0.45164263937980054,0.5686944449963283,3.81777089379954
lasso,test,-0.34626630824346344,0.5351869297091761,0.48444028372602044,0.6709851524828273,0.48961312368863563,4.232269179645141
gaussian_process,train,-0.3492554086158418,3.4376367274285333e-06,0.999999999840922,1.6616074052072424e-10,0.9999999998413214,2.54570610981268e-05
gaussian_process,test,-0.3496104979097314,0.15201577294491112,0.6794173703328834,0.4172284564921746,0.6826339184566338,1.464503086954548
