Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3548986923509369,0.03170167784268115,0.9938139653614809,0.007939680225801752,0.9938294951555525,0.2545156963765843
random_forest,test,-0.3548621232317497,0.09944621667432528,0.8963325431193506,0.1439164641658358,0.8973726848271832,0.8876165291777139
neural_network,train,-0.3545138373760081,0.15388190658266834,0.9421361008765141,0.07373494739889934,0.9422813658952341,1.18642896441654
neural_network,test,-0.35459165660475184,0.1638874787109561,0.8854673803884565,0.154790668065298,0.886616537106967,1.358167713845496
linear_regression,train,-0.35344939808359227,0.3123259322245665,0.8222372685037072,0.22891012983113865,0.8226835347752459,2.3743416532385777
linear_regression,test,-0.35367818814458585,0.3260616315019728,0.7799838237201552,0.34234320190371453,0.7821913438834981,2.6043507049819596
lasso,train,-0.35342879818133716,0.31404060460009936,0.8220256621016516,0.229200279218973,0.8224724596026517,2.387277201777845
lasso,test,-0.3536650215179045,0.32694909346312423,0.7809846084816807,0.34039010448275775,0.7831820873263462,2.609658540429224
gaussian_process,train,-0.354932475948128,1.8755700749542306e-06,0.9999999999435598,6.439368732095497e-11,0.9999999999437015,1.456276252495214e-05
gaussian_process,test,-0.3549043030078109,0.08101988221786977,0.8869353803872474,0.15549328989351105,0.88806980800878,0.7553117023589944
