Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3441372297347676,0.027412757526759934,0.995434597603314,0.0015012370829264271,0.9955119773049528,0.19679603588629974
random_forest,test,-0.3455223414017353,0.05678766428806116,0.9857933247450902,0.005657267716103128,0.9867619616942885,0.409050219077318
neural_network,train,-0.3415905895233473,0.42235152537250337,0.19327062015493057,0.2652760820795986,0.2069439994743385,2.990682923099689
neural_network,test,-0.34317488133094937,0.38494005166961326,0.34356331196487977,0.26140092711722274,0.3883203588763652,2.73876990758681
linear_regression,train,-0.34407335616180057,0.0614277586599329,0.9747637815380285,0.008298402571358336,0.975191514054333,0.43875030220983113
linear_regression,test,-0.34554119564682745,0.06641993962101517,0.9824039817235384,0.007006944576492935,0.983603710242388,0.47245370961491623
lasso,train,-0.34407764166869337,0.06428237824442373,0.9740627379808666,0.008528926081295157,0.9745023525913604,0.45885986278235946
lasso,test,-0.34553795801309084,0.06749243621848033,0.9826232485634895,0.006919629902749058,0.9838080270705243,0.47750297693758564
gaussian_process,train,-0.34414693840441624,2.2232842298771612e-07,0.9999999999996346,1.2013868446011307e-13,0.9999999999996408,1.5843881621554304e-06
gaussian_process,test,-0.3455585402803328,0.03310297729193646,0.9909525710556027,0.003602794233167713,0.9915694412109025,0.24364487009052088
