Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.35484411104657504,0.1379742247383306,0.9261110854803964,0.07317419525985873,0.9273634399637796,1.2367059335620054
random_forest,test,-0.36187424205713875,0.4785789447805911,0.5768112118117141,0.8832777758737562,0.6056649928245518,4.723975028538444
neural_network,train,-0.3507720435097848,0.4417554231024811,0.5259078267694279,0.4695063323191824,0.5339432873326581,3.9035602276216204
neural_network,test,-0.35478527788985714,0.6324456149293751,0.305415327821568,1.4497340702816612,0.35277337365191563,6.3071754367544015
linear_regression,train,-0.35056500943328084,0.4642258959510182,0.4849732488250289,0.510044954639702,0.4937025157940962,4.05616762295144
linear_regression,test,-0.3605076783353184,0.6177390147824499,0.42679012037108954,1.1964011375514565,0.4658726121639698,6.068155525000964
lasso,train,-0.35053992798131944,0.46676844195365547,0.4845148314552492,0.5104989377892023,0.493251868210245,4.07533217972408
lasso,test,-0.3605900990940623,0.6209974329021748,0.42886588565586914,1.192068609386366,0.4678068479975145,6.088158345148577
gaussian_process,train,-0.35521421454122054,2.3813641434857656e-06,0.999999999979439,2.0362081055296582e-11,0.9999999999797875,2.0232352262802528e-05
gaussian_process,test,-0.3614725360476406,0.36705875323633136,0.7022061773803501,0.6215539557144373,0.7225103016498717,3.5733488258163373
