Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3511859079813817,0.088519920766989,0.9628321691332721,0.03210615834015728,0.9634621323683014,0.7872885327346597
random_forest,test,-0.35531275123258926,0.2706497639393548,0.8003527065205212,0.34853152757123973,0.8139650219850311,2.5917770325606546
neural_network,train,-0.3478453886898875,0.4042887593002491,0.46168242032138795,0.31786540277656766,0.47080644709560177,3.3918097539731002
neural_network,test,-0.35153767664666496,0.471038114548505,0.4422627563399394,0.6745263041623234,0.48029029568039805,4.305172617283067
linear_regression,train,-0.3485884265356858,0.3041349421932053,0.6954736174620579,0.25427279327028346,0.7006350815728705,2.6967073394553833
linear_regression,test,-0.3548528800562965,0.37080197082521654,0.7062414259626919,0.4950303388603153,0.7262704196470539,3.5441387430914872
lasso,train,-0.3485787192634911,0.30650070511239824,0.694887709830564,0.25463155754003586,0.7000591045791985,2.714435584594682
lasso,test,-0.354869198954376,0.3731104388065695,0.7060826683568533,0.49445288167189644,0.7261224864234315,3.559771023594429
gaussian_process,train,-0.351397335038897,1.5543792428382888e-06,0.9999999999840389,1.2711849048591517e-11,0.9999999999843094,1.3521317881741717e-05
gaussian_process,test,-0.3552502452398664,0.21509533443056952,0.8498544045525631,0.254802810671788,0.860091604242161,2.058561040834201
