Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3547695717572,0.04040098807841647,0.9958195021602648,0.005640163211736526,0.9958318340122995,0.3111514059549204
random_forest,test,-0.3562829318900619,0.12197310005698649,0.9481886829350383,0.08007571513733439,0.948800627624782,0.9932469071991814
neural_network,train,-0.3546266375333576,0.12880315006362822,0.9742478774971732,0.03474375051316312,0.9743238424603085,0.9555719107674782
neural_network,test,-0.35611508600188846,0.15376787863037789,0.9618448512245393,0.058969757910914224,0.962295502588029,1.1751990369658494
linear_regression,train,-0.3546156139127465,0.23750256034141728,0.9098516599725937,0.12162459365220119,0.9101175842794592,1.7731541158274955
linear_regression,test,-0.3561076449251801,0.2351721489307983,0.9218603609747937,0.12076680983946694,0.9227832700971387,1.777807405158538
lasso,train,-0.3546148552166566,0.23607722816502122,0.9094453149820922,0.1221728183265249,0.9097124379467468,1.767441171449833
lasso,test,-0.3561044241203257,0.23630111405221924,0.9208020447020849,0.1224024646959606,0.9217374536229265,1.7922895013549796
gaussian_process,train,-0.35478057062509327,4.6246616086551184e-05,0.9999999798020601,2.725026587054905e-08,0.999999979861641,0.0003652761471139626
gaussian_process,test,-0.3563347123526714,0.058705590762711174,0.970957960368535,0.04488521474218749,0.9713009765846546,0.5116568473760953
