#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,,,,,CoercivityHcExternal,Remanence,MaximumEnergyProduct,,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,,,,,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,,
#A / m,J / m,J / m3,rad,rad,rad,rad,A / m,A / m,J / m3,,
Ms,A,K1,k1_theta,k1_phi,h_theta,h_phi,Hc,Mr,BHmax,calculator,file_path
7359253.468955144,3.5238140185443803e-10,1860164.8105827018,2.1206688708652472,-3.0461433282786445,1.7965233841702886,-2.8890002648240984,28068.549582990996,120205.3313118626,510.92201769807133,mumax3_RelaxDriver,data/output_188487_29
3171598.4105316675,2.7745754910304224e-10,798121.7189908008,0.7306096814819301,0.3436323436203851,1.608538321716435,-1.8896910871376142,141313.98666598232,1412639.5950585615,44042.27234007574,mumax3_RelaxDriver,data/output_190244_2094
1338334.4974254582,7.963484911592903e-10,732608.4814214807,2.4148852184039713,-0.29766233844395934,0.5974249764559125,-1.7496996733920922,413897.5578268469,771601.3822783405,46265.04464249697,mumax3_RelaxDriver,data/output_190244_1636
4595782.6600757865,5.662417578642118e-10,8475937.757641511,0.9224137914659982,-1.9204460877691667,1.6122163130495109,0.2536781059984615,1207583.7446416612,2181555.693697838,351027.25111899554,mumax3_RelaxDriver,data/output_188487_309
2684121.2406164748,2.3281820385878497e-10,7321792.885326659,2.7368715037610998,-1.2190733935040987,0.9777433684341059,1.0109726371231333,2131521.892623837,1912419.7615211483,414483.9168010149,mumax3_RelaxDriver,data/output_188487_266
2321865.2570178304,7.208305304436162e-11,4865407.788635589,1.3866073657110112,-1.5765087039840844,1.5166051587013207,0.8217867693773203,1561065.2034346766,1650913.6161567608,300662.7941892009,mumax3_RelaxDriver,data/output_190244_389
2741261.8367390716,6.250926664289851e-10,246640.96930204215,0.25431711430785375,-0.5492943667059859,2.472135484959971,-3.0032703349456495,92821.34700853587,2363379.8891208274,101362.37448967286,mumax3_RelaxDriver,data/output_190244_2281
7426492.922571377,9.382084173862604e-10,3543173.88394208,0.8956437807396526,-1.3194247756091695,1.9255477019411773,-0.5201272420443448,180952.65704314565,1136810.3318791527,35784.93482072357,mumax3_RelaxDriver,data/output_190244_1772
2281529.9912607833,5.078670291875136e-10,7112606.580144651,2.3302459204366066,2.7477475456751272,0.9593384250926335,2.3292415735872627,721220.5142830758,335824.08390904247,12098.559761059789,mumax3_RelaxDriver,data/output_188487_246
4501159.2325517805,2.6353702930091245e-10,2580370.393377812,1.7625918407860492,-2.561639835950055,2.0925755778934607,1.3099183978338877,373751.3597555462,2238548.5573231285,183273.18101873779,mumax3_RelaxDriver,data/output_190244_1995
