#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,CoercivityHcExternal,Remanence,MaximumEnergyProduct,,,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,,,
#A / m,J / m,J / m3,A / m,A / m,J / m3,rad,,
Ms (A/m),A (J/m),K (J/m^3),Hc (A/m),Mr (A/m),BHmax (J/m^3),relative_angle,calculator,file_path
6369095.238317108,6.91520139255339e-10,1250070.213307417,242770.88434432304,1496273.9997397268,55795.72189621852,1.557562808188276,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_186
7508412.032807235,6.639664616316613e-10,734826.0310952337,159113.47990396648,905018.023448487,19129.603357811644,0.9784995118658544,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1688
1508967.8801355788,3.365501448428717e-10,9418408.158169718,3221281.310338821,521487.37902745255,34838.51048706207,1.2179285203060937,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_867
6475838.282227868,9.188104056715059e-10,545982.1219464734,145117.13795813572,2631303.920682795,128853.09250052036,0.8809767878170275,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1086
7259253.465690425,3.1892769829450376e-10,5170088.963857281,87468.1848752307,325348.382323003,4171.165411871487,1.4219161934005862,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1661
4777497.847500811,3.1056809418901547e-10,7010920.663887205,365164.2424319812,758865.3403134908,34274.20880882841,1.4028848918559242,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1649
3764906.6340403096,6.034844412508758e-11,3403370.529663221,152897.21276281233,359935.9611741586,7150.884791127787,1.355508059376432,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1333
4817015.096038826,8.541876955578516e-10,6673347.607773652,935377.7955747204,2321930.7359296395,336875.66110162286,1.0652067612701206,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1175
5960072.78606341,2.0815606238919504e-10,4728834.109344562,84175.71056139404,273837.4491113387,3306.566087845648,1.3599911908881426,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_26
4862197.269586938,7.297697912645059e-11,8118064.844546521,610422.9367941772,3665181.534811752,1025198.3167240808,0.6998982427073299,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1456
4323205.351372846,3.5567740910768207e-10,4433287.362559511,813387.8028242156,3661543.226614431,1006074.7178779392,0.5396549816283167,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_393
4120938.1911985455,8.198540489038928e-10,2083563.0106314763,80924.14350700578,400161.57925810345,5224.782070620487,1.4783987273716415,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_252
3230511.915503124,7.674360899416901e-10,2738419.503363039,241398.6096471708,584362.7815809614,18622.864008849345,1.3875570490474625,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1380
6309362.2322334135,5.597152167545909e-10,1701817.2575232082,18472.99808676547,120912.82245116658,381.6154794663912,0.23509259990347783,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_24
3790707.347527357,3.0490055033023523e-10,5316749.0996921,1110831.430178339,3005889.813999551,786067.5223619048,0.6445662460836578,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_931
1289350.5500542794,7.959466774891931e-10,6349509.803581039,1054864.1082813456,175228.82845050076,3849.931335694128,1.4345503481056558,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1095
6402395.791361837,1.8553662768137794e-10,3075590.308762736,41861.56009796111,333663.55110973254,4207.073785776937,1.1181267869981903,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_804
3500328.552949812,6.396532629384627e-10,2104385.004202708,501060.3871266797,2889150.0761806373,483837.3456157176,0.5783806150207575,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1007
2362074.9599382654,6.126720645573149e-10,1043201.801766044,481045.929017387,2327505.8152302387,534505.6321515624,0.160168172025208,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1334
7321988.221200973,9.818914536551412e-11,5049753.446645102,69920.51764856464,204464.29015029912,1939.5819630525264,1.4475427338611848,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_584
4975633.213822556,9.301870000300703e-10,7097534.080465375,841579.8582147255,1996878.2169358544,240418.592803085,1.1492779392628139,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1732
4500076.907568899,6.94534514405322e-10,5055229.127677493,525735.0938075046,1378248.8729216296,102908.13256151856,1.2557055648181148,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1527
6725382.870269657,9.414493527619467e-11,7732017.18550129,128622.66528668535,288180.79237014847,4655.620202343303,1.557134297239968,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1319
