Material_Name,Curie,Neel,Curie_Weiss,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity,Magnetic_Moment,Magnetization,Remanence,Susceptibility,DOI,Experimental
Nd0.5Sr0.5MnO3,,50.0,,Perovskite,,,,,150μB,,,,10.1016/j.jmmm.2006.10.217,True
Fe3O4,858.15,,,Spinel,Cubic,,,43-62 Oe,,32-58 emu/g,,,10.1016/j.jmmm.2017.05.018,True
Gd3Pt23Si11,42.0,,,Face-centered cubic,Cubic,{'a': '16.8249(7) Å'},Fm3̄m,,7.00±0.10 μB/R,,,,10.1016/j.jmmm.2014.01.010,True
Tb3Pt23Si11,25.0,,,Face-centered cubic,Cubic,{'a': '16.8181(8) Å'},Fm3̄m,,5.86±0.10 μB/R,,,,10.1016/j.jmmm.2014.01.010,True
Dy3Pt23Si11,15.99,,,Face-centered cubic,Cubic,{'a': '16.814(1) Å'},Fm3̄m,,7.08±0.10 μB/R,,,,10.1016/j.jmmm.2014.01.010,True
Ho3Pt23Si11,9.07,,,Face-centered cubic,Cubic,{'a': '16.8015(5) Å'},Fm3̄m,,7.06±0.19 μB/R,,,,10.1016/j.jmmm.2014.01.010,True
Er3Pt23Si11,3.39,,,Face-centered cubic,Cubic,{'a': '16.7979(5) Å'},Fm3̄m,,4.79±0.23 μB/R,,,,10.1016/j.jmmm.2014.01.010,True
MnP,291.5,47.0,,Orthorhombic,Distorted NiAs-type hexagonal,"{'a': '5.916 Å', 'b': '5.260 Å', 'c': '3.173 Å'}",,,,,,,10.1016/j.jmmm.2006.01.195,True
Nb0.975Fe2.025,63.0,,84 K,C14 Laves phase,Hexagonal,,,550 Oe at 2 K,0.378 μB/f.u.,,,,10.1016/j.jmmm.2018.01.055,True
NbFe2,,18.5,,,,,,,,,,,10.1016/j.jmmm.2018.01.055,False
LaMn0.5Fe0.5O3,380.0,,,Pbnm,,,,,,,,,10.1016/j.jmmm.2018.08.070,True
Mn1.2Sn0.5Ga0.5,306.0,,,Hexagonal,Co1.75Ge-prototype,"{'a': '4.304 Å', 'c': '5.346 Å'}",P63/mmc,210 Oe,1.07 μB/Mn,64.1 emu/g,,,10.1016/j.jmmm.2018.09.123,True
Mn1.5Sn0.5Ga0.5,284.0,,,Hexagonal,Co1.75Ge-prototype,"{'a': '4.322 Å', 'c': '5.375 Å'}",P63/mmc,230 Oe,,,,,10.1016/j.jmmm.2018.09.123,True
Mn1.7Sn0.5Ga0.5,283.0,,,Hexagonal,Co1.75Ge-prototype,"{'a': '4.331 Å', 'c': '5.379 Å'}",P63/mmc,290 Oe,,,,,10.1016/j.jmmm.2018.09.123,True
