composition,Tc_sim
"(2Mn, Ga) co-doped LiNbO3",304.9
"(Bi,Mn)2O2Se",30.0
(C12H25NH3)2CuCl4,13.0
(C2H5NH3)2CoCl4,2.0
(C6H11NH3)CuBr3,7.43
(CH3NH3)2CuCl4,8.9
(Dy0.25Er0.75)Al2,24.0
(DyHo)Al2,46.0
(Fe0.8Co0.2)83Si1B16,650.0
(Fe0.90Cr0.03Ni0.07)2P,250.0
(Fe0.90Cr0.05Ni0.05)2P,180.0
(Fe0.9Co0.1)83Si1B16,691.0
(Fe80Co20)0.72Si19.2B4.8Nb4,642.0
(Fe85Co5Cr10)91Zr7B2,320.0
(Fe90Co10)82P6C7B3Si2,684.15
"(Ga,Mn)As",170.0
(La0.33Sm0.67)0.67Sr0.33MnO3,205.0
(La0.9Dy0.1)0.8Pb0.2MnO3,248.0
(La0.9Dy0.1)2/3Ca1/3MnO3,176.0
(La0.9Gd0.1)0.67Ca0.33MnO3,182.0
(La0.9Gd0.1)0.67Sr0.33MnO3,323.5
(La0.9Gd0.1)2/3Ca1/3MnO3,182.0
(LaFe11.4Si1.6)5.5B19Nb4,500.0
(Mn0.55Fe0.45)5Sn3,278.5
(Nd0.125Sm0.875)0.5Sr0.5MnO3,120.0
(Nd0.93Y0.07)0.7Sr0.3MnO3,175.0
(Pr0.1Ce0.4Sr0.5)MnO3,250.0
(Pr1/3Sm2/3)2/3Sr1/3MnO3,150.0
(Sm0.7Nd0.3)0.52Sr0.48MnO3,176.0
(Sm0.8Zr0.2)(Fe0.75Co0.25)11.5Ti0.5,880.0
"(V, N)ZnO",321.0
"(V, N)ZnO/G",630.0
1T'-MoS2,273.0
2H-TaS2,865.0
2H-VS2,278.0
Ag3CrS4,270.8
Ag3CrSe4,317.2
Ag3CrTe4,297.0
Al0.875Mn0.125N,300.0
Al0.9375Mn0.0625N,320.0
Al27Cu18Er55,11.0
Al31CaP32,2316.0
AlC0.0625N0.9375,875.0
AlC0.125N0.875,875.0
AlCMn3,287.0
AlFe2B2,290.0
AlMnSi,100.0
AlN0.5Mn3,818.0
AlN2,22.0
AlN:Cr,300.0
"AlxCoCrFeNi (x = 0.2, 0.3)",273.0
Au4V,43.0
Ba(Ti0.93Fe0.07)O3,600.0
"Ba(Zn,Co)2As2",53.0
Ba2Co2Fe12O22,608.15
Ba2CoTaO6,747.0
Ba2CrMoO6,335.0
Ba2CrWO6,145.0
Ba2FeMoO6,365.0
Ba2FeReO6,315.0
Ba3Co2Fe24O41,682.5
Ba3Fe2WO9,330.0
Ba9Fe3Se15,14.0
Ba9V3Se15,3.5
BaC,428.0
BaCo0.5Nb0.5O3,45.0
BaFe12O19,723.0
BaFe2(PO4)2,65.5
BaFeO3,250.0
BaLaMnMoO6,145.0
BaN,1000.0
BaRuO3,60.0
BeBr3@GaN,32.46
BeCl3@GaN,35.27
BeF3@GaN,38.37
Be₂CoMn,1007.0
Bi0.5Sr0.5MnO3,150.0
Bi0.95La0.05FeO3,1020.0
Bi0.9La0.1Fe0.9Mn0.1O3,890.0
Bi2Te3,11.0
Bi3Mn3O11,150.0
Bi3Mn3O11 (δ=0.6),307.0
BiCu3Mn4O12,350.0
BiMn,720.0
BiMn1.08,470.0
BiMnO3,102.5
C-adsorbed SiC,441.0
Ca(Mn0.6Ru0.4)O3,210.0
Ca0.7La0.3B6,600.0
Ca0.8La0.2B6,600.0
Ca0.99La0.01B6,600.0
Ca0.9La0.1B6,600.0
Ca14MnBi11,55.0
Ca14MnSb11,65.0
Ca2CoOsO6,145.0
Ca2CrMoO6,120.0
Ca2CrOsO6,490.0
Ca2CrRe0.71Mo0.29O6,291.0
Ca2CrRe0.74Mo0.26O6,296.0
Ca2CrReO6,360.0
Ca2CrSbO6,16.0
Ca2FeMoO6,345.0
Ca2FeOsO6,350.0
Ca2MnOsO6,305.0
Ca2MoOsO6,564.0
Ca2MoOsO6 (under pressure),624.0
Ca2NiOsO6,175.0
Ca2PrCr2NbO9,110.0
Ca3Fe2WO9,310.0
CaBaCo3.95Al0.05O7,32.0
CaBaCo3.95Ga0.05O7,40.0
CaBaCo3.96Fe0.04O7,42.0
CaBaCo3.96Zn0.04O7,40.0
CaBaCo3.98Al0.02O7,52.0
CaBaCo4O7,60.0
CaBr3@GaN,178.95
CaC,820.0
CaC2B2,770.0
CaCl3@GaN,37.7
CaCo2,530.0
CaCu3Co2Re2O12,20.0
CaCu3Cr2Sb2O12,170.0
CaCu3Fe2Re2O12,560.0
CaCu3Fe2Sb2O12,160.0
CaCu3Fe3Re2O12,560.0
CaCu3Ge4O12,13.0
CaCu3Mn4O12,352.5
CaCu3Sn4O12,10.0
CaCuFeReO6,576.0
CaF3@GaN,36.71
CaFe12O19,718.0
CaGe,330.0
CaMnO3,123.0
CaN,615.0
CaRu0.75Cr0.25O3,123.0
CaSi,420.0
Cd0.75Ti0.25S,95.11
Cd0.75Ti0.25Se,0.4585
Cd0.75Ti0.25Te,0.4616
Cd0.92Cr0.04V0.04Te,414.0
Cd0.94Cr0.03V0.03Te,354.0
Cd0.95Cr0.025V0.025Te,312.0
Cd0.96Cr0.04Te,684.0
Cd0.975Cr0.025Te,409.0
Cd0.97Cr0.03Te,686.0
CdCr2O4,309.0
CdCr2S4,85.8
CdCr2Se4,130.0
CdGeP2:Mn,350.0
Ce-doped Germanene,436.68
Ce0.67Sr0.33MnO3,43.0
Ce0.75Mn0.25O2,840.0
Ce0.92Mn0.08O2,330.0
Ce11Ni4In9,16.5
Ce11Ru4In9,6.3
Ce17Fe76.25Hf0.75B6,426.0
Ce17Fe77.5B6Zr0.5,420.5
Ce17Fe77B6,425.0
"Ce17Fe78B6 (with Nb, Cu, Ga, Co)",437.8
Ce23Ru7Cd4,3.6
Ce2Co7,50.0
Ce2Fe14B,428.075
Ce2Fe17,94.0
Ce2IrGe3,4.0
Ce2Pd2In,4.0
Ce2Pd2Sn,4.2
Ce3Al11,4.7
Ce3Pt23Si11,0.44
Ce3RuSn6,3.0
Ce3Te4,5.0
Ce4Sb3,3.9
Ce7Rh3,6.8
CeAg0.65Ga3.35,3.0
CeAg0.75Ga3.25,5.0
CeAgGe,6.0
CeAgSb2,9.6
CeAlSi,7.1
CeAu0.75Ge1.25,6.0
CeAuGe,10.0
CeCo5,737.0
CeCrGe3,66.0
CeCrSb3,115.0
CeCuSi,15.5
CeFe1.95Al0.05,196.0
CeFe10.5Mo1.5,386.0
CeFe11Ti,487.0
CeFe2,230.0
CeGe2,4.5
CeNiInH1.8,6.9
CeNiSb2,6.0
CeNiSb3,6.0
CePd,6.5
CePd1−xRhx (x=0),6.5
CePd2Al2Ga,1.8
CePd3S4,6.3
CeRh3B2,115.0
CeRu2Al2B,13.0
CeRuPO,15.0
CeSi,6.1
CeTiGe3,14.0
Co,1360.0
Co (fcc),1388.0
Co doped TiO2,300.0
Co-doped ZnO,311.5
Co-implanted GaN,320.0
Co/Pt,400.0
Co0.75Fe0.25S2,120.0
Co27.7Fe32.6Ni27.7Ta5.0Al7.0,694.0
Co2AlB2,12.0
Co2Cr0.25Mn0.75Al,720.0
Co2CrAl,334.0
Co2CrGa,485.0
Co2CrSn,748.23
Co2Fe(Ga0.75Si0.25),1243.0
Co2Fe(Si0.75Ge0.25),990.0
Co2FeAl,1359.0
Co2FeGa,1317.0
Co2FeGe,1100.0
Co2FeSi,1100.0
Co2H3,485.0
Co2Mn(Ga0.5Sn0.5),770.0
Co2Mn(Ge0.75Ga0.25),895.0
Co2Mn0.25Cr0.75Sn,792.89
Co2Mn0.5Cr0.5Sn,838.46
Co2Mn0.75Cr0.25Sn,885.26
Co2MnAl,758.0
Co2MnAl (B2-12.5%),749.0
Co2MnAl (B2-25%),747.0
Co2MnAl (B2-37.5%),751.0
Co2MnAl (B2-50%),749.0
Co2MnGa,700.0
Co2MnGe,930.0
Co2MnGe0.75Ga0.25,895.0
Co2MnSi,958.0
Co2MnSn,815.0
Co2MnSn0.25Si0.75,928.0
Co2MnSn0.5Si0.5,928.0
Co2MnSn0.75Si0.25,928.0
Co2NbGa,548.7
Co2S2,404.0
Co2TaAl,560.7
Co2TaGa,556.3
Co2TaGe,158.65
Co2TaSi,263.25
Co2TiAl,583.0
Co2TiGa,185.5
Co2VGa,469.0
Co2VSi,747.0
Co2ZrAl,180.0
Co35Er65,12.5
Co3B,750.0
Co3BO5,42.0
Co3Pt,380.0
Co3V2O8,10.0
Co47.5Ni22.5Ga30.0,380.0
Co50Gd45Fe5,8.0
Co50Ni21Ga29,400.0
Co5Zr,773.15
Co71Mo9P14B6,317.0
Co83Dy17,1030.0
Co90Nb10Ta3,360.0
Co90Zr10,998.0
CoAl2S4,435.0
CoCuMnIn,642.0
CoCuMnSn,882.0
CoFe2O4,793.0
CoFeCuO4,688.0
CoFeMnAs,926.2
CoFeMnGe,750.0
CoFeMnSb,928.0
CoFeMnSi,685.3
CoFeZrSi,837.5
CoIn2S4,273.0
CoMnGe0.95Ga0.05,303.0
CoMnP,600.0
CoMnSb,481.0
CoMnSe,420.0
CoNiMnGa,657.3
CoPt,748.75
CoPt3,280.0
CoRhMnGe,928.0
CoRhMnSi,928.0
CoRuVAl,285.0
CoS2,124.0
CoVSb,45.0
CoZrVAl,728.0
CoZrVGa,736.0
CoZrVIn,795.0
CoZrVSn,460.0
CoxGe1-x (x ≥ 0.04),300.0
Co₂CrGa,505.0
Co₂CrSi,535.0
Co₂FeAl,1325.0
Co₂FeBe,1204.0
Co₂FeGa,1282.0
Co₂FeGe,1163.0
Co₂FeMn,1584.0
Co₂FeNi,1366.0
Co₂FePt,1186.0
Co₂FeSi,1178.0
Co₂FeTi,1217.0
Co₂FeV,765.0
