composition,Ms
Ag(AuF4)2,59297.8156719258
Ag(NO)3,362684.47455815144
Ag(NO2)3,232512.78261216515
Ag2As3S6N,91558.80698140913
Ag2AsS4N,118254.30863899397
Ag2Au3N6Cl17,135756.25172591957
Ag2IOF,70922.2041913788
Ag2WO4,56145.300340661124
Ag3CN(ClO5)2,67509.1176111417
Ag3F8,63031.445565709706
Ag3I(NO3)2,90016.26777108417
Ag3P2N(O3F)2,164855.15162389164
Ag3P3O10,79375.8121971375
Ag3RuO4,224874.76010715036
Ag7NO8,442482.42389570427
AgC2S2N3,209913.86923679805
AgC4NCl2,95731.29743537505
AgC8S4N4Cl,74532.71452922684
AgH28S8Br2(N3O4)3,71610.35859394025
AgH3CN3O4,65023.923095760416
AgI3N2O,145684.6001178476
AgIrF7,144991.25851742935
AgMo2P3O13,70390.58162005109
AgN2ClO4,407017.3954275216
AgPdF6,88187.8511276118
AgRuF7,231653.95250581586
AgS2(O3F)2,51207.17917804857
AgSNO3,213086.64307841242
AgSO4,104746.41294570449
AgSnF6,80269.2975404016
Al,398000.0
Al(FeB)2,613818.2474284838
Al(FeO2)2,1137179.1396820473
Al(NCl)3,332810.13939149724
Al(NCl)4,215530.758789455
Al(NF2)3,471774.62103800575
Al(SO6)2,262196.9546697395
Al(VS2)4,202437.6934293633
Al13(CrSi)4,54049.102664273225
Al13Si5ClO38,244266.42841701335
Al2(SeO4)3,226545.1090806576
Al2Co3(SiO4)3,431315.31248792907
Al2CoO4,421870.4148056697
Al2CoP3NO14,293419.6565045425
Al2CrCl8,110615.05670509978
Al2CuO4,141578.73052306022
Al2CuSi2O7F2,60470.212543519134
Al2Fe(PO9)2,493054.2130924683
Al2Fe(SiO5)2,318933.256888156
Al2Fe3(SiO4)3,560750.1095743786
Al2FeO4,552935.6721394204
Al2FeP2(HO)18,107468.7553072138
Al2GeO6,192425.76612813128
Al2NiCl8,63289.72703211484
Al2P2O11F,285052.8659223393
Al2PO7,206010.51194012346
Al2PO8,297668.5811970186
Al2PbC2O11,168700.2939332538
Al2Si2CNO10,186850.8947491337
Al2Si2H4O9,81709.8601348451
Al2Si2H5C2NO10,56786.66639510624
Al2Si2O11,299324.70663664583
Al2Si2O9,208037.9201594143
Al2Si2PbO10,115411.31567521764
Al2Si3(HO4)3,104581.16984658752
Al2SiO6,203222.76943282297
Al2TeSO9,106933.99449669229
Al2VCl8,92142.8815658155
Al2VO7,180446.5127854813
Al2W5O16,114001.97463370411
Al3(Co10B3)2,571967.642374793
Al4CN3O,227377.85268081786
Al4Co(BO5)2,63565.05841567221
Al4Fe2Si5O18,182046.39788491995
Al4P5HN2O21,189102.9935348364
Al5C2N6F17,188061.4301783451
Al5O8,76215.05296926665
Al8Fe5,452551.2520271973
Al9Fe2Si4HO24,195673.37644244276
AlCoNF6,220757.66115148555
AlCoP2C2(NO4)2,75935.35238392805
AlCrCo2,597895.2512645373
AlCrCu2,523582.85485903616
AlCrNi2,614540.437748826
AlCu6H18SClO19,126754.1606506471
AlFe,288807.6625980531
AlFe2Ni,834028.590740668
AlFe3,1410828.4101587872
AlFe3C,1003041.1443389311
AlFeCo2,1025115.411390508
AlFeF5,453997.8541389347
AlFeO3,904772.658025087
AlFePO5,350373.721926133
AlH18(BrO6)3,90516.90589855165
AlHg2O2F5,248853.8345452778
AlHg3(OF3)2,55681.24388472376
AlI3N5,118583.38350556868
AlNCl4,179905.69110388667
AlNF4,227978.44435643012
AlNi3,194619.86798635725
AlNiH16N(OF)6,70179.37385870251
AlO2,297728.9111702871
AlO3,331029.30813662655
AlP2H2O9,170494.92921322567
AlP3NO10,129093.94792951737
AlPO4,52474.572184669385
AlPO5,192893.9311006792
AlPO6,337196.2516987572
AlPb3OF9,90464.23268161797
AlS2NO20,391644.8675307022
AlSBr3,97523.46307752511
AlSeO10,178096.0400731383
AlTl2OF5,123916.59287395648
AlV2O4,651385.6863719295
AlV3,324645.48216709873
AlVCo2,396546.681223046
As2PdO6,194906.9617019091
As4INO6,96681.1919730475
As4N2Cl2O7,263639.3664956878
AsC2(OF3)2,51771.345780389136
AsC4N2F17,55567.5999938744
AsCClO2F3,60957.48125210344
AsCOF4,61613.54318831559
AsH3,88779.95397557443
AsNF6,167010.49528716487
AsO2,64579.91940867067
AsRu,89568.06152974718
AsS(NO4)2,399432.82505965553
Au(OF3)2,56143.82635050691
Au3F8,57977.755936107045
Au3N3(Cl6O)2,127234.00287410426
AuC4(N2O)2,228464.17986198916
AuC5(SCl)4,52672.218260611684
AuCN3Cl4,150203.29818971857
AuCl5O18,100142.95451357262
B10Pb4O21,85043.85678151075
B11(Pb2O9)3,155666.7631220946
B13N2,85822.24281185112
B20H26O,72630.86768311026
B3H7N,75940.24968732188
B5H4NO10,88372.06372991807
B5H8NO12,101369.6382218514
B8PbO15,132350.2343462981
BNCl,136968.19685539906
BNF4,250281.44972242444
BO2F3,218832.8795497069
BO3,487395.51951326436
BS2,118446.78240135558
Ba,62644.283917620276
Ba(As2O7)2,186117.41115586043
Ba(BO2)5,141311.09820589796
Ba(BrO)2,263282.5708942353
Ba(CO2)2,150410.77206532695
Ba(ClO)2,313109.7264264165
Ba(CoAs)2,122198.19486817544
Ba(CrAs)2,391247.70282165654
Ba(Fe2O3)9,1569591.206986143
Ba(FeBr4)2,214526.58967199046
Ba(FeO2)2,453371.2565237372
Ba(FeS2)2,119713.91205712137
Ba(GaO3)2,250799.8614364956
Ba(MnAs)2,706833.6804932907
Ba(MnGe)2,478395.64772556274
Ba(MnP)2,422953.63955073286
Ba(MnSb)2,529083.0362499764
Ba(MnSn)2,539058.275816813
Ba(Mo3S4)2,57751.32984407345
Ba(PO4)2,189855.37021739746
Ba(ReO6)2,267971.11503526976
Ba(SO2)4,71712.08115641218
Ba(SO4)2,91473.9710255854
Ba15Fe7S25,225978.77183561842
Ba2BiIrO6,116886.19663591341
Ba2Ca(PO4)4,150933.35760008197
Ba2CaCr2CuF14,239832.59961788435
Ba2CaFe2CuF14,353514.6915478323
Ba2CaIrO6,182067.3671084004
Ba2CaOsO6,122949.87203593586
Ba2CaReO6,61336.84040956453
Ba2CaV2CoF14,225201.5189493169
Ba2CdReO6,61332.56422091081
Ba2Co(PO4)2,140398.07928763796
Ba2Co2ClF7,279459.514302823
Ba2Co4ClO7,211657.7245534903
Ba2CoAg2(SeO)2,150376.56100758788
Ba2CoC2(O3F)2,155010.79707619737
Ba2CoCl6,114922.86975760863
Ba2CoCu2(SO)2,163593.30524220437
Ba2CoF6,193106.93904922873
Ba2CoO4,388748.1609363849
Ba2CoWO6,199261.08148721248
Ba2CrO4,154718.26813922
Ba2Cu2Te2P2O13,60921.56165067736
Ba2Cu5F14,159180.70798448086
Ba2CuF6,68097.53962035853
Ba2CuTeO6,59930.50151004351
Ba2CuWO6,65386.83330604584
Ba2Fe2O5,655564.0598186083
Ba2Fe3(P2O9)2,424930.05794560607
Ba2Fe3F10,495767.7658780691
Ba2Fe3P6HO22,309675.75193842483
Ba2Fe6O11,986545.9517353904
Ba2FeBiS5,188100.46550200245
Ba2FeSbS5,188247.59085141157
Ba2InIrO6,122998.85183151785
Ba2InRuO6,191563.77225353842
Ba2Li(CuO2)3,108130.58902581774
Ba2LiB10O19,73170.71620279278
Ba2MgReO6,67714.32284626405
Ba2Mn(AsO4)2,209402.49476163535
Ba2Mn(PO4)2,228550.86281700784
Ba2Mn3(AsO)2,718295.2175271615
Ba2Mn3(SeO3)6,258397.3136001127
Ba2MnO3,417081.6719440724
Ba2MnP4(H3O8)2,135057.0528251813
Ba2MnS3,278238.28823367256
Ba2MnSe3,248773.64234329533
Ba2MnTe3,205266.34671394096
Ba2MnV2HO9,172367.01355662776
Ba2NO6,169094.40687398476
Ba2Na(CuO2)3,103651.34720730035
Ba2Na(NiO2)3,53538.50009592495
Ba2NaOsO6,59635.7676249696
Ba2NbCrO6,202574.454523855
Ba2Ni(PO4)2,94740.79514543056
Ba2Ni2ClF7,191271.40235366617
Ba2Ni3F10,266554.9871425194
Ba2Ni7F18,375522.20245179697
Ba2NiF6,131643.87619617055
Ba2NiOsO6,266628.2820291307
Ba2P4H6O13,54438.699094466836
Ba2ReNiO6,206590.26114735208
Ba2SrIrO6,170453.7771181938
Ba2SrNp,233428.45121985083
Ba2TaCrO6,198189.69921334102
Ba2Ti2Fe2As4O,314012.55793742434
Ba2U(Cu2Se3)2,60256.474415858684
Ba2UCoO6,184563.05958566343
Ba2UCu2S5,78683.22956887708
Ba2UCu2Se5,70269.36826156072
Ba2UCuO6,69035.80909468811
Ba2UFeO6,368795.0713602159
Ba2UMnO6,294739.1162657086
Ba2UNiO6,122757.73709927232
Ba2US6,77686.41985251493
Ba2V2FeHO9,214955.14073120523
Ba2V3HO9,89872.97129251264
Ba2V3P6HO22,122762.98401090331
Ba2VO4,75483.99004561386
Ba2ZnO6,350829.3921923152
Ba2ZnReO6,66982.81251990085
Ba3Al2Cu2F16,56906.814393464265
Ba3Al2O12,303680.1463432802
Ba3BiRu2O9,119827.31147356564
Ba3CaIr2O9,129524.9197482039
Ba3CaRu2O9,246012.10632721623
Ba3CoSb2O9,123794.30836340845
Ba3Cr2O8,89918.3851592395
Ba3CrS5,119593.16076414485
Ba3Cu2(ClO2)2,85809.12491662227
Ba3CuRu2O9,312927.96375590336
Ba3Fe26O41,1430494.7686331756
Ba3Fe2P4(O6F5)2,210582.84515887333
Ba3Fe3Se7,239900.10394482093
Ba3FeN3,116072.37900010827
Ba3FeO5,232287.5916741634
Ba3FeS4Br,178230.3319076963
Ba3FeS5,149713.1304148948
Ba3Ge2B7H3O20,58938.77111462081
Ba3In4(CuO4)3,84748.90674873501
Ba3InRu2O9,127370.83404092937
Ba3Li2Mo4P6(ClO14)2,54224.95529079692
Ba3LiIr2O9,220442.59265543657
Ba3LiOs2O9,132915.16029542938
Ba3LiRu2O9,215849.79754100848
Ba3MgIr2O9,121278.78397860797
Ba3MgRu2O9,177000.0459944095
Ba3Mn2O8,181290.9945469969
Ba3MnSb2O9,201234.44602779578
Ba3Mo2(IO9)2,94569.96337040314
Ba3Na2Cr4F20,257345.31645241764
Ba3NaIr2O9,202640.9705350172
Ba3NaIrO6,101207.29416166196
Ba3NaMn4Si6O22F,316809.0534946758
Ba3NaOs2O9,127758.59193842224
Ba3NaRu2O9,145258.6687660511
Ba3NaRuO6,151813.67854772072
Ba3NaSi2B7O20,94208.01394715246
Ba3Nb2(OF3)4,52410.33669493675
Ba3Nb2CoO9,130006.37830326788
Ba3NbFe3(SiO7)2,398589.23079940607
Ba3NiO4,120774.17969835605
Ba3NiRu2O9,364158.25201664976
Ba3Np,205779.00044518962
Ba3SrRu2O9,235535.89143550303
Ba3TaFe3(SiO7)2,402976.7932960471
Ba3Ti2(O3F5)2,103770.37124077504
Ba3UFeS6,129136.6690033435
Ba3UFeSe6,115104.54637348799
Ba3UMnS6,135984.54881330603
Ba3V2S4O3,68270.69103045377
