composition,Ms
Ba(GdS2)2,698759.4974746987
Ba2CeNbO6,57175.31661138887
Ba2CeTaO6,56918.10271553001
Ba2ErRuO6,187165.87341996835
Ba2Eu3Si7,644113.3598895904
Ba2EuCl7,186367.55380685217
Ba2EuCu3O7,311580.6004019867
Ba2EuNbO6,346089.4767288619
Ba2EuReO6,462611.1441013971
Ba2EuSbO6,347423.0757084804
Ba2EuTaO6,347049.3797097134
Ba2Gd2Co4O11,942855.1826860866
Ba2Gd2Si4O13,438411.5093686082
Ba2GdB2ClO6,329263.7238760226
Ba2GdC2(O2F)3,316564.8028232558
Ba2GdCl7,226056.32973889564
Ba2GdCu3O7,357134.86494002305
Ba2GdGaSe5,236673.5939759816
Ba2GdGaTe5,195301.92016245655
Ba2GdNbO6,408504.95730732917
Ba2GdSbO6,337733.26395798504
Ba2Ho2Co4O11,473874.9697516355
Ba2HoReO6,123120.75840381463
Ba2HoRuO6,185972.96602106784
Ba2LaIrO6,114176.76703199552
Ba2LaReO6,113362.69208379494
Ba2LaRuO6,172896.77005995836
Ba2LuRuO6,190755.18583685823
Ba2Nd2Co4O11,155880.81812961187
Ba2NdIrO6,116950.14047590052
Ba2NdMoO6,57247.99056488784
Ba2NdRuO6,174941.98492390104
Ba2PrIrO6,117650.25910641605
Ba2PrPtO6,57568.0709036171
Ba2PrRuO6,174886.67558720548
Ba2SmMoO6,58112.173688318755
Ba2SmOsO6,177630.1428729734
Ba2Tb2Co4O11,470174.1261214167
Ba2Tb2Mn4O11,601481.141467
Ba2TbIrO6,122362.34112487287
Ba2TmReO6,124874.55533581384
Ba2TmRuO6,188620.9155332366
Ba2YCoO5,247591.34976293027
Ba2YFe3O8,728806.5721939502
Ba2YFeO5,296010.3875596647
Ba2YIrO6,122896.41237191255
Ba2YOsO6,183205.6726144834
Ba2YReO6,121781.7216195462
Ba2YRuO6,184219.58671821895
Ba2YbReO6,128117.42180238491
Ba2YbRuO6,195082.36245831117
Ba2YbSbO6,57671.915940265644
Ba3CeRu2O9,81205.5935310003
Ba3DyRu2O9,121975.72861893622
Ba3ErRu2O9,125218.68881336424
Ba3EuRu2O9,404035.01323500596
Ba3GdInS6,214266.14206812656
Ba3LaRu2O9,118837.39633253124
Ba3LuRu2O9,126864.33664612434
Ba3NaEu3(Si3O10)2,323001.3157715322
Ba3NaGd3(Si3O10)2,386120.1437429963
Ba3NdRu2O9,119315.1467905631
Ba3PrRu2O9,118294.24632374723
Ba3Sc4(CuO4)3,90804.05154564785
Ba3SmRu2O9,120634.40866944051
Ba3TbRu2O9,123338.26937296354
Ba3YIr2O9,74322.66511972444
Ba3YRu2O9,123701.32156206458
Ba4CeMn3O12,285006.54798757005
Ba4Er(RuO4)3,155582.95866853194
Ba4Ho(RuO4)3,154589.90616913993
Ba4NdMn3O12,308705.2417301907
Ba4Pr(RuO4)3,149013.84028524655
Ba4PrMn3O12,306491.6560877007
Ba4Tb(RuO4)3,153320.60796130632
Ba4Y2Fe2O11,238124.81302300585
Ba5Eu8Zn4O21,759560.661325733
Ba5Gd8Zn4O21,901780.1473514658
Ba5Ho8Mn4O21,328724.06553449517
Ba5Nd8Mn4O21,300464.88284737855
Ba5Sm8Mn4O21,309550.47210926504
Ba5Y8Mn4O21,323448.5972162272
Ba6Y2Co4O15,337457.82335177733
Ba8Eu7Cl34,294830.880024822
BaCe2MnS5,284608.4620903533
BaCe2O4,152118.40148389334
BaCe2ZnS5,86744.20909024308
BaCeC2O6F,63511.43978467382
BaCeI4,51218.23285131885
BaDy2CoO5,205230.73564451997
BaDy2CuO5,73370.27371412292
BaDy2MnO5,353965.3572731835
BaDy2NiO5,146958.7277557022
BaDyFe2O5,683457.1553333402
BaDyFe4O7,833223.8298487973
BaEr2CoO5,129277.05889409166
BaEr2CuO5,74349.45038953787
BaEr2NiO5,149836.16778184546
BaErFe4O7,845817.5681952371
BaErMn2O5,668247.923980937
BaEu2CoO5,1048021.3610725959
BaEu2Mn2O7,1166611.991980859
BaEu2NiO5,982390.5690876523
BaEu2Sc2O7,641736.6568392863
BaEu2ZnO5,822189.53106468
BaEuFe2O5,1201111.3404829768
BaGd2CoO5,1221906.5120784435
BaGd2Mn2O7,604940.1414208638
BaGd2O4,1140765.8427627697
BaGd2PdO5,1006196.1931118065
BaGd2PtO5,972198.84534338
BaGd2Sc2O7,761980.3745067159
BaGd2Si3O10,583386.2480663854
BaGd2ZnO5,979767.7679562008
BaGdAuSe3,389468.3217333529
BaGdCl5,352507.76705577003
BaGdCo2O5,998862.5369446278
BaGdCuS3,455733.18131852295
BaGdCuSe3,404739.3472427292
BaGdCuTe3,146796.89506324063
BaHo2CoO5,73708.65751849368
BaHo2CuO5,75084.6365235706
BaHo2NiO5,148610.16803517548
BaHoCo4O7,656874.8170005071
BaHoFe4O7,842247.7831934898
BaLa(CoO3)2,303285.45115839416
BaLa2CoS5,129047.29406645481
BaLa2FeS5,171060.13264655293
BaLa2MnS5,208884.2659851751
BaLaMn2O6,520727.87477042404
BaLu2CoO5,76792.44305834977
BaLu2CuO5,77153.74710810884
BaLuCo4O7,674389.0651063172
BaLuFe4O7,849693.7464971446
BaLuFeCuO5,390391.0573907795
BaNaCe2C4O12F,69634.68254183972
BaNaEu(SiO3)3,261319.79759619787
BaNd2CoO5,206277.20945995007
BaNd2CoS5,132775.72309141533
BaNd2CuO5,68877.87694926902
BaNd2FeS5,176014.96910147727
BaNd2Mn2O7,457484.5459195296
BaNd2MnS5,214745.56314389265
BaNd2NiO5,135760.8776375578
BaNdCo2O5,444431.40404891834
BaNdFe2O5,660070.3928899502
BaNdMn2O5,650205.5926499566
BaNdMn2O6,527920.6816781766
BaPr(CoO3)2,481564.18033010646
BaPr2CoS5,130966.78375767745
BaPr2CuO5,67632.32436905475
BaPr2FeS5,173691.40014943166
BaPr2NiO5,133310.64331163457
BaPrMn2O5,645152.8225484586
BaPrMn2O6,525016.8061119374
BaPrO3,97798.193816632
BaSm(CoO3)2,463663.92731004907
BaSm2CoO5,207610.77439883695
BaSm2CuO5,69411.19844087538
BaSm2FeS5,179902.32273045767
BaTb2Mn2O7,468924.6207986922
BaTb2NiO5,145493.647221662
BaTbF6,71600.8301069488
BaTbMn2O5,670918.6053858305
BaTbMn2O6,535844.1281128832
BaTbO3,105707.75220530358
BaTm2CoO5,75544.00208643926
BaTm2CuO5,76478.93697480838
BaTm2NiO5,152071.44954916247
BaTmCo4O7,591672.6831432431
BaTmFe4O7,840993.4145742484
BaY2CoO5,72494.91115155946
BaY2CuO5,71904.7215112758
BaY2NiO5,146060.96404867654
BaYCo2O5,438297.9012958961
BaYCo4O7,652270.6631204692
BaYFe2O5,688809.0289876659
BaYFe4O7,841157.5388604356
BaYFeCuO5,381095.61274819827
BaYFeO4,464675.37444460555
BaYMn2O6,533441.5189665597
BaYb2NiO5,157119.3757489502
Ca2ScOsO6,226121.41432587564
Ca4GdB3O10,280209.1390083849
Ca4YFe5O13,792353.8298739571
CaEu2(CuO3)2,892238.0043006811
Ce(AgGe)2,71045.82906229503
Ce(Al10Co)2,64516.96983436605
Ce(AlAu)2,95321.3482446533
Ce(AlGa)2,92721.35767618065
Ce(AlGe)2,87049.27147368577
Ce(AlPd)2,95859.554254225
Ce(AlZn)2,97148.74366828415
Ce(AsPd)2,59584.13752074552
Ce(AsRh)2,77201.24206128481
Ce(BC)2,108646.01162775997
Ce(BIr)2,142568.282388146
Ce(BIr)4,59123.218875078994
Ce(BO2)3,95001.30642160983
Ce(CO2)3,128166.34952888901
Ce(CuGe)2,86558.96813627027
Ce(CuSb)2,96319.31489519936
Ce(CuSi)2,71596.26372149015
Ce(CuSn)2,83615.43920579163
Ce(FeGe)2,657853.2104396618
Ce(GaPd)2,107619.01179388184
Ce(GeAu)2,95476.81549915817
Ce(GeIr)2,88904.71884880835
Ce(GePd)2,92999.17137973152
Ce(GePt)2,88850.93810260989
Ce(GeRh)2,84285.09529587696
Ce(MgSi)2,84579.93659955588
Ce(N4O9)2,93803.06823741863
Ce(NiAs)2,50840.87461710857
Ce(NiGe)2,87062.12227624691
Ce(NiSb)2,87270.16233314671
Ce(PIr)2,58114.05854082788
Ce(PO3)3,52103.807319888074
Ce(PPt2)2,68472.99014887252
Ce(SiAg)2,91072.89765986335
Ce(SiAu)2,104424.6013060119
