composition,Ms
Ac2Ce2O5,90019.8192132342
Ac2CeAu,141123.00305277415
Ac2CeGe,55284.17815057594
Ac2CeHg,84355.2425242634
Ac2CePd,112187.75985054957
Ac2CePt,120048.36049905967
Ac2LaAu,123991.89818399251
Ac2LaPt,53942.94084786286
Ac2NdPd,91948.40777051752
Ac2NdPt,108554.63668360762
Ac2PmPt,93486.8282030083
Ac2PrAu,140272.98220540734
Ac2PrPd,113541.40503915613
Ac2PrPt,119326.8995104757
Ac2Sc2O5,52602.658696282
Ac3Ce,116673.68927654708
Ac3Eu,466285.25112082675
Ac3La,97275.41582146307
AcCe3,162890.23170270256
AcCeHg2,51319.668979077454
AcCeTe,94111.1026920403
AcCeTe2,59186.06996893813
AcCeTl,63872.31330461704
AcDy2In,90960.19562089031
AcDyGa,62487.1614193944
AcDyTe,90636.76435640718
AcDyTe2,68690.20793595356
AcDyTl,75705.4080435787
AcEr2In,101917.7488894638
AcErGa,53902.01535790227
AcErTe,106390.98297246314
AcErTe2,75272.25490837177
AcEu2O4,73133.49451058952
AcEu3,1179228.3052011952
AcEuAu2,308959.54397252086
AcEuMg2,255064.93385711653
AcEuO3,106093.80296800644
AcEuZn2,288657.8163683141
AcGd2Au,161336.5111852633
AcGdGa,60611.804742618966
AcGdTe2,66894.50281033255
AcGdTl,76055.77279347475
AcHoGa,61349.00328221937
AcHoTe,97714.51684420252
AcHoTe2,74120.19998884939
AcLa2Au,143255.54078923448
AcLaTe,103544.85844419879
AcLaTe2,63458.93989630102
AcLaTl,64872.17968035028
AcLu2Sn,83541.1022894709
AcLuTe,106681.01878707045
AcLuTe2,74800.83247081547
AcNd2Au,113914.24421566077
AcNdTe,99662.6111366822
AcNdTe2,58769.79613816159
AcNdTl,70181.8115580369
AcPm2Au,137913.36626247814
AcPmGa,51434.35886898944
AcPmTe,101910.06315835523
AcPmTe2,65372.850946034094
AcPmTl,72841.90803096062
AcPrHg2,50410.11240720598
AcPrTe,138025.10731718532
AcPrTe2,58389.416741493704
AcPrTl,67148.61532656345
AcScBi,94929.62387246887
AcScSb,233965.47794943443
AcScTe,199161.938743258
AcScTe2,120966.31358214
AcSm2Au,150510.0314159368
AcSmGa,54929.41567674481
AcSmIn,68061.62939384203
AcSmTe,66535.58005263192
AcSmTe2,64992.09391118986
AcSmTl,74632.34930599653
AcTbTe2,68128.58399494344
AcTm2Pt,58425.58625726698
AcTmTe,113520.08107117614
AcTmTe2,75369.94358408377
AcYGa,64311.45133750128
AcYTe,96155.2563257217
AcYTe2,83782.40534259604
AcYTl,74955.7561598498
AcYb2O4,75566.2954580447
AcYbO3,113875.28520040958
Ba(CeS2)2,106708.24688100585
Ba10Gd2Y3(Cu3O7)5,141747.0833733556
Ba10GdY4(Cu3O7)5,69482.70914160708
Ba10Nd4Y(MoO6)5,57923.49357151242
Ba10Pr5Ir(Ru2O15)2,161694.6122621091
Ba10Y5(Fe5O12)3,658411.0302807611
Ba12Sm4Al3(CoO6)5,194312.1169715867
Ba20Y10Cu(Ru3O20)3,152864.22598644684
Ba2Ca2EuTi3(CuO7)2,199520.8186056689
Ba2CaEr3(NiO5)2,113522.91921342148
Ba2CaY(Co4O7)2,635163.3191104258
Ba2CaY2(Fe2O5)2,493201.05516239884
Ba2Ce2Ti2Fe(Si4O13)2,94603.40093378417
Ba2Ce3Si3O12F,88240.72338892783
Ba2CeAs,221225.98608433772
Ba2CeBi,193737.5559114455
Ba2CeCrO6,123724.70614734352
Ba2CeMgNbO6,110144.69534379068
Ba2CeNbO6,55055.7046538781
Ba2CePaO6,50168.31657669648
Ba2CePb,154819.05189892676
Ba2CePrO6,50304.009644184436
Ba2CePuO6,211498.93115844304
Ba2CeSb,199711.89534803282
Ba2CeSn,157354.06775325342
Ba2CeTe,181440.0200086331
Ba2CeVO6,61553.200603418176
Ba2CeWO6,115771.26273567785
Ba2Dy2Co4O11,318675.555961361
Ba2Dy2O5,58778.06021203746
Ba2DyCoCu2O7,133361.88011369808
Ba2DyMgNbO6,88754.06830567808
Ba2DyMoO6,60292.34416805246
Ba2DyTe,94723.36483827676
Ba2DyUO6,55388.9257961861
Ba2DyWO6,59882.71100493389
Ba2Er2O5,59604.29733157736
Ba2ErCoCu2O7,115640.30046891906
Ba2ErCuNi2O7,173922.42269212383
Ba2ErMgNbO6,94182.82985245899
Ba2ErMgRuO6,55207.5236775147
Ba2ErMoO6,61226.70393524408
Ba2ErReO6,123692.1051898045
Ba2ErRuO6,192599.75265555424
Ba2ErUO6,55111.62565387985
Ba2Eu(CuO2)4,274541.22085029376
Ba2Eu2O5,56469.54467697603
Ba2Eu2ZnPtO8,93111.21168588997
Ba2Eu3Mn2(CuO6)2,244402.97240987324
Ba2EuBiO6,326588.9726779853
Ba2EuCrO6,437131.20019356476
Ba2EuMgNbO6,311007.6605573559
Ba2EuMgSbO6,297515.4133386404
Ba2EuMoO6,416458.425405932
Ba2EuNbO6,58900.84957626027
Ba2EuSbO6,202953.32573631287
Ba2EuTa3Ti2O15,178214.5831825573
Ba2EuTaO6,59261.553638963676
Ba2EuV3O11,203722.07467413446
Ba2EuVO6,371163.2900265632
Ba2EuWO6,396207.8764702455
Ba2Gd(CuO2)4,308169.73884459084
Ba2Gd2Co4O11,482191.7592480615
Ba2Gd2O5,117114.54294918782
Ba2GdBiO6,385058.86768862326
Ba2GdCu2(HgO4)2,291617.9141329373
Ba2GdCu3SO6,308759.1696100103
Ba2GdMgCu3O7,313713.26239544054
Ba2GdMgSbO6,313370.50758662965
Ba2GdPaO6,371810.3829337149
Ba2GdSbO6,411527.4430371638
Ba2GdTaO6,409608.9909003749
Ba2GdTe,104490.99560009902
Ba2GdUO6,424799.7838921446
Ba2GdV3O11,239787.11807496863
Ba2HfScO6,63793.2514616629
Ba2Ho2Co4O11,345461.3037143293
Ba2Ho2Fe(CoO4)3,508430.05644391227
Ba2Ho2O5,59698.03074047534
Ba2HoCoCu2O7,116493.3586017577
Ba2HoMgNbO6,94069.67666885562
Ba2HoMgRuO6,54484.4263018843
Ba2HoMoO6,60659.67801907756
Ba2HoRuO6,191438.137847441
Ba2HoUO6,54599.198605144746
Ba2La(FeO3)3,635674.7742114671
Ba2La2Co4O11,83554.9356821997
Ba2La2MgMn(WO6)2,224143.1643818074
Ba2La2MgZn(WO6)2,67552.34817142572
Ba2La2Mn(WO6)2,180321.67429256495
Ba2La2Mn4O11,581287.2424812118
Ba2La2Ni(WO6)2,70446.57177169036
Ba2La3Nd(CuO5)2,66749.10335362054
Ba2La4Mn5SnO18,459928.9406212105
Ba2LaAs,222111.56635932418
Ba2LaBi,201409.3504109658
Ba2LaCoCu2O7,122330.9220080403
Ba2LaCrO6,59966.661272685655
Ba2LaIrO6,118146.66534563772
Ba2LaMn2O7,385680.5687563584
Ba2LaPb,158294.62742978835
Ba2LaPuO6,153671.1285054278
Ba2LaRuO6,177662.60888842773
Ba2LaSb,205210.6924775526
Ba2LaTe,227572.3208699312
Ba2LaUO6,50437.64103072765
Ba2LaWO6,55481.789833410614
Ba2LiEu(CuO2)4,305250.1482888709
Ba2LiHoRuO6,116844.41262065474
Ba2LiLaIrO6,54111.42487827699
Ba2LiScO6,266052.46903426305
Ba2LiSmCoCu2O7,113876.15505167753
Ba2LiTbIrO6,57697.46249782281
