composition,Ms
Ac(CoO2)2,104130.56286140664
Ac(CuO2)2,300206.8208203381
Ac(FeO2)2,867219.4620671746
Ac(GeO2)2,77015.4147899853
Ac(HgO2)2,76045.78885396691
Ac(MoO2)2,450073.3641352286
Ac(NiO2)2,305831.3323107174
Ac(OsO2)2,94228.55465075014
Ac(PbO2)2,68658.91128483858
Ac(PdO2)2,93285.5240050397
Ac(ReO2)2,277893.3179431484
Ac(RhAu)2,69199.5354698756
Ac(RuO2)2,95757.57645291182
Ac(SnO2)2,72654.66030940415
Ac(TcO2)2,281997.01308329246
Ac(WO2)2,341479.32257664605
Ac2AgTe,68970.67952134987
Ac2AsAu,81778.77857726958
Ac2AsOs,84549.0661514254
Ac2AsPd,56340.42700700407
Ac2BTe,68439.04210748638
Ac2BiAu,66562.18360101731
Ac2BiPd,59982.00086937291
Ac2BiRu,57771.49636065198
Ac2Ce2O5,90019.8192132342
Ac2CeAu,141123.00305277415
Ac2CeGe,55284.17815057594
Ac2CeHg,84355.2425242634
Ac2CePd,112187.75985054957
Ac2CePt,120048.36049905967
Ac2Cl3,72310.61334518563
Ac2Co2O5,57067.90818479594
Ac2CoHg,59110.05114994289
Ac2CoPb,76072.62398651788
Ac2CoSn,78791.60624689699
Ac2Cr2O5,500807.8157992781
Ac2CrAs,276598.0127918673
Ac2CrAu,300536.8746211208
Ac2CrBi,244741.80848704765
Ac2CrPd,310831.8091504497
Ac2CrPt,326367.06121750164
Ac2CrSb,243764.3439571442
Ac2CrSn,301150.4357294848
Ac2CrTe,269317.32306938793
Ac2Cu2O5,67990.48952286906
Ac2F,50697.25502082585
Ac2F3,218646.84412098196
Ac2Fe2O5,593076.9160588931
Ac2FeAs,103855.14598229452
Ac2FeAu,142650.55392112755
Ac2FeBi,94091.96062181312
Ac2FeSb,96479.6338594937
Ac2FeSn,153980.85834148177
Ac2FeTe,106112.87620667218
Ac2GeAu,51469.69246321932
Ac2Hf2O5,61689.879404325446
Ac2Hg3(AuO4)3,76181.80299455885
Ac2I3,60830.39461762841
Ac2LaAu,123991.89818399251
Ac2LaPt,53942.94084786286
Ac2Mn2O5,613665.2285768243
Ac2MnAs,209459.21115866734
Ac2MnBi,209481.54357315655
Ac2MnPt,304427.54389530217
Ac2MnRh,296936.5907523029
Ac2MnSb,227759.91097796423
Ac2MnSn,226197.76155373605
Ac2MnTe,256094.97344211882
Ac2Mo2O5,161820.09535865064
Ac2N3,267868.70487091405
Ac2Nb2O5,170928.34570170642
Ac2NdPd,91948.40777051752
Ac2NdPt,108554.63668360762
Ac2Ni2O5,280044.2416568013
Ac2NiSb,55373.32783779063
Ac2NiTe,102312.41849195672
Ac2Np2O5,504622.2663958805
Ac2Os2O5,108430.14046154745
Ac2Pa2O5,154598.45063856602
Ac2PbAu,58068.82941329294
Ac2PmPt,93486.8282030083
Ac2PrAu,140272.98220540734
Ac2PrPd,113541.40503915613
Ac2PrPt,119326.8995104757
Ac2Pu2O5,674488.9453917689
Ac2PuAu,497195.281410332
Ac2PuBi,447256.6712089278
Ac2PuIn,445220.6616688618
Ac2PuPt,559305.1926199925
Ac2PuSb,441501.58083116944
Ac2PuTe,433141.4448030078
Ac2Re2O5,57005.25184704669
Ac2Ru2O5,50783.75111984759
Ac2SbOs,78709.33823851153
Ac2SbPd,65542.7838699609
Ac2SbRu,59945.74393438689
Ac2Sc2O5,52602.658696282
Ac2SnAu,56795.75324211073
Ac2Ta2O5,110809.78172586471
Ac2Tc2O5,188371.03961358994
Ac2Te2O5,50934.07810428536
