composition,Tc_exp,contains_re
A1Q1073Mn39.5Al3Ni48Sn9.5W1,249.5,False
A1Q1173Mn39.5Al3Ni48Sn9.5W1,254.5,False
A1Q873Mn39.5Al3Ni48Sn9.5W1,248.5,False
A1Q973Mn39.5Al3Ni48Sn9.5W1,249.5,False
A2CuHCBr4,3.98,False
A2CuPCCl4,4.8,False
A573Mn39.5Al3Ni48Sn9.5,259.5,False
Ag,0.0,False
AgI,535.5,False
Al,0.0,False
Al(Co2Ni)3,1012.15,False
Al(CoNi)2,992.15,False
Al(FeB)2,283.0,False
Al(FeO2)2,590.0,False
Al0.01Zn0.94Fe0.04O1,300.0,False
Al0.01Zn0.96Fe0.03O1,300.0,False
Al0.02Sn0.98O2,300.0,False
Al0.02Zn0.96Ag0.02O1,273.0,False
Al0.02Zn0.96Cu0.02O1,273.0,False
Al0.02Zn0.9795Ag0.0005O1,273.0,False
Al0.02Zn0.9795Cu0.0005O1,273.0,False
Al0.03Fe0.37Ni0.38B0.06P0.16,482.0,False
Al0.03Fe0.75B0.06P0.16,630.0,False
Al0.03Zn0.92Fe0.05O1,300.0,False
Al0.04Sn0.96O2,300.0,False
Al0.04Zn0.81Ni0.15O1,400.0,False
Al0.06Sn0.94O2,300.0,False
Al0.06Zn0.83Ni0.11O1,400.0,False
Al0.06Zn0.87Ni0.07O1,400.0,False
Al0.1Fe1.9Co1O4,754.0,False
Al0.1Sn0.9O2,300.0,False
Al0.1Zn0.3Fe1.9Ni0.7O4,667.0,False
Al0.229Ni0.771,168.5,False
Al0.245Ni0.755,48.0,False
Al0.248Ni0.752,50.2,False
Al0.2Cr0.1Fe1.7Ni1O4,800.0,False
Al0.2Cr1.8Ni1O4,65.0,False
Al0.2Fe1.8Co0.5Cu0.5O4,583.0,False
Al0.2Fe1.8Co1O4,737.0,False
Al0.2Zn0.3Fe1.8Ni0.7O4,651.0,False
Al0.2Zn0.5Fe1.8Ni0.5O4,661.0,False
Al0.3Co1Si0.7,320.0,False
Al0.3Cr1.7Ni1O4,45.0,False
Al0.3Fe1.7Co1O4,672.0,False
Al0.3Zn0.3Fe1.7Ni0.7O4,626.0,False
Al0.44Fe2.56O4,773.15,False
