composition,Tc_exp
(Al1/6Co1/6Cr1/6Fe1/6Mn1/6Ni1/6)3O4,248.0
(AlCrFeNiMn)O,400.0
"(Ba,K)(Zn,Mn)2As2",180.0
(Ba0.93Fe0.07)TiO3,506.0
(C3H7NH3)2MnCl4,39.2
(C6H5CH2NH3)2CrBr4,58.0
(CH3NH3)2CuCl4,8.85
"(Ca,Na)(Zn,Mn)2As2",33.0
"(Co,Fe)2Si",1000.0
(Co0.2Fe0.8)72.5Si12.5B15,730.0
(Co0.5Fe0.5)68Cr10Si8B14,585.0
(Co0.5Fe0.5)73.5Nb3Cu1Si13.5B9,773.0
(Co0.5Fe0.5)74Cr4Si8B14,729.0
(Co0.6Fe0.4)73.5Nb3Cu1Si13.5B9,773.0
(Co0.7Fe0.3)73.5Nb3Cu1Si13.5B9,773.0
(Co0.8Fe0.2)73.5Nb3Cu1Si13.5B9,773.0
(Co0.9Fe0.1)73.5Nb3Cu1Si13.5B9,773.0
(Co1Fe0)73.5Nb3Cu1Si13.5B9,773.0
(Co94Fe6)72.75Si12.25B10Cr5,730.0
(Co94Fe6)72.75Si12.25B11.25Cr3.75,730.0
(Co94Fe6)72.75Si12.25B12.75Cr2.25,730.0
(Co94Fe6)72.75Si12.25B15Cr0,730.0
(Cu/Co)60/Fe,1250.0
"(Fe,Nb)23B6",900.0
(Fe0.22Mn0.78)2Nb,42.0
(Fe0.45Mn0.55)2Nb,38.0
(Fe0.5Co0.5)0.75B0.2Si0.05)96Nb4,696.0
(Fe0.5Co0.5)72.7Al0.8Si17.5B5Cu1Nb3,648.15
(Fe0.5Co0.5)73.5Cu1Mo3Si13.5B9,728.15
(Fe0.5Co0.5)73.5Si13.5B9Nb3Cu1,809.65
(Fe0.65Ni0.35)0.89Mn0.11,220.0
(Fe0.67Mn0.33)2Nb,60.0
(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05)96Nb4,612.5
(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05)96Nb4,612.5
(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05)96Nb4,612.5
(Fe0.6Co0.4)0.75B0.2Si0.05)96Nb4,678.0
(Fe0.70Co0.30)2P,450.0
(Fe0.75B0.2Si0.05)96Nb4,598.0
(Fe0.7Co0.3)0.75B0.2Si0.05)96Nb4,668.0
(Fe0.7Co0.3)71B29,935.0
(Fe0.7Co0.3)78Mo1B3C7P10Si1,783.0
(Fe0.7Mn0.3)2As,400.0
(Fe0.85Co0.15)78Mo1B3C7P10Si1,665.0
(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05)96Nb4,612.5
(Fe0.8Co0.2)0.75B0.2Si0.05)96Nb4,642.0
(Fe0.8Co0.2)78Mo1B3C7P10Si1,683.0
(Fe0.8Ni0.2)78Si10B12,729.0
(Fe0.8Ni0.2)78Si8B14,733.0
(Fe0.90Cr0.03Ni0.07)2P,295.0
(Fe0.90Mn0.10)2Nb,54.0
(Fe0.97Cu0.03)2P,265.0
(Fe0.98Mo0.02)3B,780.0
(Fe0.99Mo0.01)78Si9B13,665.0
(Fe0.9Co0.1)0.75B0.2Si0.05)96Nb4,610.0
(Fe0.9Co0.1)74.5Nb2Si17.5B5Cu1,808.15
(Fe0.9Nb0.1)76B24,423.35
(Fe12Co)79Mo8Cu1B12,375.15
(Fe12Co1)79Mo8Cu1B12,375.0
(Fe1Co1)76Mo8Cu1B15,600.0
(Fe1Co1)79Mo8Cu1B12,808.0
(Fe3Ni)81Nb7B12,773.15
(Fe53.95Co29.05)83Si1.3B10.7Nb3Cu1Al1,708.15
(Fe53.95Co29.05)83Si1.3B11.7Nb3Cu1,682.15
(Fe6Ni)81Nb7B12,573.15
(Fe70Co30)90Zr10,735.0
(Fe83Ga17)97.25Cr2B0.75,973.15
(Fe90Co10)80P13C7,652.0
