composition,Tc_exp
A1Q1073Mn39.5Al3Ni48Sn9.5W1,249.5
A1Q1173Mn39.5Al3Ni48Sn9.5W1,254.5
A1Q873Mn39.5Al3Ni48Sn9.5W1,248.5
A1Q973Mn39.5Al3Ni48Sn9.5W1,249.5
A2CuHCBr4,3.98
A2CuPCCl4,4.8
A573Mn39.5Al3Ni48Sn9.5,259.5
Ag,0.0
AgI,535.5
Al,0.0
Al(Co2Ni)3,1012.15
Al(CoNi)2,992.15
Al(FeB)2,283.0
Al(FeO2)2,590.0
Al0.01Zn0.94Fe0.04O1,300.0
Al0.01Zn0.96Fe0.03O1,300.0
Al0.02Sn0.98O2,300.0
Al0.02Zn0.96Ag0.02O1,273.0
Al0.02Zn0.96Cu0.02O1,273.0
Al0.02Zn0.9795Ag0.0005O1,273.0
Al0.02Zn0.9795Cu0.0005O1,273.0
Al0.03Fe0.37Ni0.38B0.06P0.16,482.0
Al0.03Fe0.75B0.06P0.16,630.0
Al0.03Zn0.92Fe0.05O1,300.0
Al0.04Sn0.96O2,300.0
Al0.04Zn0.81Ni0.15O1,400.0
Al0.06Sn0.94O2,300.0
Al0.06Zn0.83Ni0.11O1,400.0
Al0.06Zn0.87Ni0.07O1,400.0
Al0.1Fe1.9Co1O4,754.0
Al0.1Sn0.9O2,300.0
Al0.1Zn0.3Fe1.9Ni0.7O4,667.0
Al0.229Ni0.771,168.5
Al0.245Ni0.755,48.0
Al0.248Ni0.752,50.2
Al0.2Cr0.1Fe1.7Ni1O4,800.0
Al0.2Cr1.8Ni1O4,65.0
Al0.2Fe1.8Co0.5Cu0.5O4,583.0
Al0.2Fe1.8Co1O4,737.0
Al0.2Zn0.3Fe1.8Ni0.7O4,651.0
Al0.2Zn0.5Fe1.8Ni0.5O4,661.0
Al0.3Co1Si0.7,320.0
Al0.3Cr1.7Ni1O4,45.0
Al0.3Fe1.7Co1O4,672.0
Al0.3Zn0.3Fe1.7Ni0.7O4,626.0
Al0.44Fe2.56O4,773.15
Al0.4Cr0.2Fe1.4Ni1O4,730.0
Al0.4Fe1.6Co0.5Cu0.5O4,548.0
Al0.4Fe1.6Co1O4,630.0
Al0.4Zn0.3Fe1.6Ni0.7O4,606.0
Al0.4Zn0.5Fe1.6Ni0.5O4,657.0
Al0.5Fe1.5Co1O4,582.0
Al0.5Fe1.5Ni1O4,883.0
Al0.5Fe1Co2Si0.5,1107.0
