composition,Tc_sim
Al(CoB)2,12.0
Al(FeB)2,292.0
Al1.25Cr1Fe1Co1Ni1,438.15
Al1C0.0625N0.9375,875.0
Al1C0.125N0.875,875.0
Al21Fe79,1126.0
Al2CoS4,435.0
Al2Cr2.3Fe68.2Co3Si3.3B5.5P8.7C7,590.0
Al2Cr2.3Fe71.2Si3.3B5.5P8.7C7,578.0
Al2CrFeCoNi,430.15
Al3Fe17,1262.0
Al5Ga2Fe56Co14Cu4Si3(B3P5)2,578.0
Al5Ga2Fe70Cu5Si3(BP2)5,588.0
Al6Fe19,1097.0
Al9Fe41,1165.0
AlCr2C,73.0
AlCrCo2,334.0
AlCrFeCoCuNi,298.15
AlFe19,1150.0
AlFe2Co,830.0
AlFe3,1074.0
AlFeCo2,1359.0
AlFeRh2,347.0
AlN2,22.0
AlVCoRu,285.0
Ba0.12Ca0.18La0.7Mn1O3,298.0
Ba0.15Ca0.2La0.6Mn1O3,295.0
Ba0.15La0.65Mn1O3,288.0
Ba0.1Ca0.2La0.7Mn1O3,280.0
Ba0.1Sr0.1Pr0.75Ti0.04Mn0.96Bi0.05O3,275.0
Ba0.1Sr0.2Pr0.7Mn1O3,232.7
Ba0.22Sr0.11La0.67Mn0.9Fe0.1O3,230.0
Ba0.22Sr0.11La0.67Mn1O3,303.0
Ba0.24Ca0.06La0.7Mn1O3,320.0
Ba0.25La0.7Nd0.05Mn0.93Cu0.07O3,229.0
Ba0.25La0.7Nd0.05Mn0.95Cu0.05O3,258.0
Ba0.25La0.7Nd0.05Mn0.97Cu0.03O3,275.0
Ba0.25La0.7Nd0.05Mn1O3,302.0
Ba0.2Ca0.15La0.6Mn1O3,202.0
Ba0.2La0.8Mn0.8Fe0.2O3,125.0
Ba0.2La0.8Mn0.9Fe0.1O3,193.0
Ba0.2La0.8Mn1O3,295.0
Ba0.2Sr0.2La0.6Mn1O3,354.0
Ba0.33La0.67Mn0.85Sn0.15O3,288.0
Ba0.33La0.67Mn0.95Fe0.05O3,271.0
Ba0.33La0.67Mn0.9Cr0.1O3,324.0
Ba0.33La0.67Mn1O3,299.0
Ba0.33La0.67Ti0.02Mn0.98O3,310.0
Ba0.33Nd0.67Mn0.98Fe0.02O3,134.0
Ba0.33Nd0.67Mn1O3,154.5
Ba0.33Pr0.67Mn0.95Fe0.05O3,128.0
Ba0.33Pr0.67Mn1O3,188.0
Ba0.3La0.65Eu0.05Mn1O3,297.0
Ba0.3La0.6Pr0.1Mn0.9Fe0.1O3,277.0
Ba0.3La0.6Pr0.1Mn1O3,215.0
Ba0.3La0.75Nd0.05Mn1O3,325.0
Ba0.3La0.7Mn1O3,336.0
Ba0.5La0.5Mn1O3,270.0
Ba0.5Nd0.5Mn1O3,80.0
Ba0.96Sr0.64La1.4Mn2O7,190.0
Ba1Ca1Al0.02Co3.98O7,52.0
Ba1Ca1Al0.05Co3.95O7,32.0
Ba1Ca1Fe0.04Co3.96O7,42.0
Ba1Ca1Ga0.05Co3.95O7,40.0
Ba1Ca1Zn0.04Co3.96O7,40.0
Ba1Eu1Co2O5.654,300.0
Ba1La1Co2O5.5,326.0
Ba1Nb0.5Co0.5O3,45.0
Ba1Ti0.93Fe0.07O3,600.0
Ba1Y1Co2O5.5,300.0
Ba2CrMoO6,335.0
Ba2CrWO6,145.0
Ba2FeMoO6,365.0
