composition,Tc_sim
"(2Mn, Ga) co-doped LiNbO3",304.9
"(Bi,Mn)2O2Se",30.0
(C12H25NH3)2CuCl4,13.0
(C2H5NH3)2CoCl4,2.0
(C6H11NH3)CuBr3,7.43
(CH3NH3)2CuCl4,8.9
(Fe0.8Co0.2)83Si1B16,650.0
(Fe0.90Cr0.03Ni0.07)2P,250.0
(Fe0.90Cr0.05Ni0.05)2P,180.0
(Fe0.9Co0.1)83Si1B16,691.0
(Fe80Co20)0.72Si19.2B4.8Nb4,642.0
(Fe85Co5Cr10)91Zr7B2,320.0
(Fe90Co10)82P6C7B3Si2,684.15
"(Ga,Mn)As",170.0
(Mn0.55Fe0.45)5Sn3,278.5
"(V, N)ZnO",321.0
"(V, N)ZnO/G",630.0
1T'-MoS2,273.0
2H-TaS2,865.0
2H-VS2,278.0
Ag3CrS4,270.8
Ag3CrSe4,317.2
Ag3CrTe4,297.0
Al0.875Mn0.125N,300.0
Al0.9375Mn0.0625N,320.0
Al31CaP32,2316.0
AlC0.0625N0.9375,875.0
AlC0.125N0.875,875.0
AlCMn3,287.0
AlFe2B2,290.0
AlMnSi,100.0
AlN0.5Mn3,818.0
AlN2,22.0
AlN:Cr,300.0
"AlxCoCrFeNi (x = 0.2, 0.3)",273.0
Au4V,43.0
Ba(Ti0.93Fe0.07)O3,600.0
"Ba(Zn,Co)2As2",53.0
Ba2Co2Fe12O22,608.15
Ba2CoTaO6,747.0
Ba2CrMoO6,335.0
Ba2CrWO6,145.0
Ba2FeMoO6,365.0
Ba2FeReO6,315.0
Ba3Co2Fe24O41,682.5
Ba3Fe2WO9,330.0
Ba9Fe3Se15,14.0
Ba9V3Se15,3.5
BaC,428.0
BaCo0.5Nb0.5O3,45.0
BaFe12O19,723.0
BaFe2(PO4)2,65.5
BaFeO3,250.0
BaN,1000.0
BaRuO3,60.0
BeBr3@GaN,32.46
BeCl3@GaN,35.27
BeF3@GaN,38.37
Be₂CoMn,1007.0
Bi0.5Sr0.5MnO3,150.0
Bi2Te3,11.0
Bi3Mn3O11,150.0
Bi3Mn3O11 (δ=0.6),307.0
BiCu3Mn4O12,350.0
BiMn,720.0
BiMn1.08,470.0
BiMnO3,102.5
C-adsorbed SiC,441.0
Ca(Mn0.6Ru0.4)O3,210.0
Ca14MnBi11,55.0
Ca14MnSb11,65.0
Ca2CoOsO6,145.0
Ca2CrMoO6,120.0
Ca2CrOsO6,490.0
Ca2CrRe0.71Mo0.29O6,291.0
Ca2CrRe0.74Mo0.26O6,296.0
Ca2CrReO6,360.0
Ca2CrSbO6,16.0
Ca2FeMoO6,345.0
Ca2FeOsO6,350.0
Ca2MnOsO6,305.0
Ca2MoOsO6,564.0
Ca2MoOsO6 (under pressure),624.0
Ca2NiOsO6,175.0
Ca3Fe2WO9,310.0
CaBaCo3.95Al0.05O7,32.0
CaBaCo3.95Ga0.05O7,40.0
CaBaCo3.96Fe0.04O7,42.0
CaBaCo3.96Zn0.04O7,40.0
CaBaCo3.98Al0.02O7,52.0
CaBaCo4O7,60.0
CaBr3@GaN,178.95
CaC,820.0
CaC2B2,770.0
CaCl3@GaN,37.7
CaCo2,530.0
CaCu3Co2Re2O12,20.0
CaCu3Cr2Sb2O12,170.0
CaCu3Fe2Re2O12,560.0
CaCu3Fe2Sb2O12,160.0
CaCu3Fe3Re2O12,560.0
CaCu3Ge4O12,13.0
CaCu3Mn4O12,352.5
CaCu3Sn4O12,10.0
CaCuFeReO6,576.0
CaF3@GaN,36.71
CaFe12O19,718.0
CaGe,330.0
CaMnO3,123.0
CaN,615.0
CaRu0.75Cr0.25O3,123.0
CaSi,420.0
Cd0.75Ti0.25S,95.11
Cd0.75Ti0.25Se,0.4585
Cd0.75Ti0.25Te,0.4616
Cd0.92Cr0.04V0.04Te,414.0
Cd0.94Cr0.03V0.03Te,354.0
Cd0.95Cr0.025V0.025Te,312.0
Cd0.96Cr0.04Te,684.0
Cd0.975Cr0.025Te,409.0
Cd0.97Cr0.03Te,686.0
CdCr2O4,309.0
CdCr2S4,85.8
CdCr2Se4,130.0
CdGeP2:Mn,350.0
Co,1360.0
Co (fcc),1388.0
Co doped TiO2,300.0
Co-doped ZnO,311.5
Co-implanted GaN,320.0
Co/Pt,400.0
Co0.75Fe0.25S2,120.0
Co27.7Fe32.6Ni27.7Ta5.0Al7.0,694.0
Co2AlB2,12.0
Co2Cr0.25Mn0.75Al,720.0
Co2CrAl,334.0
Co2CrGa,485.0
Co2CrSn,748.23
Co2Fe(Ga0.75Si0.25),1243.0
Co2Fe(Si0.75Ge0.25),990.0
Co2FeAl,1359.0
Co2FeGa,1317.0
Co2FeGe,1100.0
Co2FeSi,1100.0
Co2H3,485.0
Co2Mn(Ga0.5Sn0.5),770.0
Co2Mn(Ge0.75Ga0.25),895.0
Co2Mn0.25Cr0.75Sn,792.89
Co2Mn0.5Cr0.5Sn,838.46
Co2Mn0.75Cr0.25Sn,885.26
Co2MnAl,758.0
Co2MnAl (B2-12.5%),749.0
Co2MnAl (B2-25%),747.0
Co2MnAl (B2-37.5%),751.0
Co2MnAl (B2-50%),749.0
Co2MnGa,700.0
Co2MnGe,930.0
Co2MnGe0.75Ga0.25,895.0
Co2MnSi,958.0
Co2MnSn,815.0
Co2MnSn0.25Si0.75,928.0
Co2MnSn0.5Si0.5,928.0
Co2MnSn0.75Si0.25,928.0
Co2NbGa,548.7
Co2S2,404.0
Co2TaAl,560.7
Co2TaGa,556.3
Co2TaGe,158.65
Co2TaSi,263.25
Co2TiAl,583.0
Co2TiGa,185.5
Co2VGa,469.0
Co2VSi,747.0
Co2ZrAl,180.0
Co3B,750.0
Co3BO5,42.0
Co3Pt,380.0
Co3V2O8,10.0
Co47.5Ni22.5Ga30.0,380.0
Co50Ni21Ga29,400.0
Co5Zr,773.15
Co71Mo9P14B6,317.0
Co90Nb10Ta3,360.0
Co90Zr10,998.0
CoAl2S4,435.0
CoCuMnIn,642.0
CoCuMnSn,882.0
CoFe2O4,793.0
CoFeCuO4,688.0
CoFeMnAs,926.2
CoFeMnGe,750.0
CoFeMnSb,928.0
CoFeMnSi,685.3
CoFeZrSi,837.5
CoIn2S4,273.0
CoMnGe0.95Ga0.05,303.0
CoMnP,600.0
CoMnSb,481.0
CoMnSe,420.0
CoNiMnGa,657.3
CoPt,748.75
CoPt3,280.0
CoRhMnGe,928.0
CoRhMnSi,928.0
CoRuVAl,285.0
CoS2,124.0
CoVSb,45.0
CoZrVAl,728.0
CoZrVGa,736.0
CoZrVIn,795.0
CoZrVSn,460.0
CoxGe1-x (x ≥ 0.04),300.0
Co₂CrGa,505.0
Co₂CrSi,535.0
Co₂FeAl,1325.0
Co₂FeBe,1204.0
Co₂FeGa,1282.0
Co₂FeGe,1163.0
Co₂FeMn,1584.0
Co₂FeNi,1366.0
Co₂FePt,1186.0
Co₂FeSi,1178.0
Co₂FeTi,1217.0
Co₂FeV,765.0
Co₂FeZn,1231.0
Co₂HfMn,950.0
Co₂HfSn,604.0
Co₂MnAl,699.0
Co₂MnGa,616.0
Co₂MnGe,817.0
Co₂MnSb,891.0
Co₂MnSi,921.0
Co₂MnSn,800.0
Co₂MnTi,1012.0
Co₂MnZr,904.0
Co₂NbAl,567.0
Co₂NbGa,553.0
Co₂PtNi,977.0
Co₂PtRh,732.0
Co₂TaAl,572.0
Co₂TiGe,620.0
Co₂TiSi,630.0
Co₂TiSn,572.0
Co₂ZrSn,603.0
Cr(II)-doped ZnS,532.0
Cr(II)-doped ZnS with 1 N,298.0
Cr-25%Fe,800.0
Cr-doped AlP,600.0
Cr-doped In2O3,273.0
Cr-doped MoI3,320.671
Cr-doped TiI3,248.0
Cr0.01Ge0.99,126.0
Cr0.15Bi1.85Se3,20.0
Cr0.25Ti0.75N,60.0
Cr0.62Te,230.65
Cr0.6Te,237.0
Cr2AlC,73.0
Cr2CoGa,320.0
Cr2CuO4,122.0
Cr2FeGe,748.0
Cr2Ge2Te6,62.3
Cr2H3,227.0
Cr2O3,460.0
Cr2S3,215.0
Cr2Se3,300.0
Cr2TeAs,608.0
Cr2TeP,583.0
Cr2TeSb,597.0
Cr3C2,886.0
Cr3Te4,332.5
Cr4.876Te8,245.0
Cr4Te5,318.9
Cr5Te8,331.0
CrBr3,59.5
CrCl3,66.0
CrGeTe3,106.0
CrI3,45.0
CrIAs,833.0
CrMnS2I2,312.0
CrO2,393.0
CrOCl,64.0
CrOF,215.0
CrSI,846.0
CrSI (V_Cr),200.0
CrSI (V_I),706.0
CrSI (V_S),626.0
CrTe,340.0
CrTe2,59.0
CrTiRhAl,385.0
CsSe,390.0
CsZrO3,639.0
Cu-doped GaP,273.0
Cu-doped ZnO,350.0
Cu-doped ZnS (bulk),350.0
Cu0.125Sr0.875O,203.01
Cu0.4Zn0.6Fe2O4,372.0
Cu0.875Mn0.125AlS2,130.0
Cu0.875Mn0.125GaS2,130.0
Cu0.875Mn0.125GaSe2,130.0
Cu2AlMn,615.5
Cu2F5,6.8
Cu2MnAl,630.0
Cu2MnIn,500.0
Cu2OSeO3,58.0
CuBr2,74.0
CuCr2S4,380.0
CuCr2Se4,420.0
CuCr2Te4,300.0
CuFe2O4,982.15
CuGa0.5Mn0.5Se2,142.0
CuGa0.75Mn0.25Se2,114.0
CuMnSe2,160.0
CuSeO3 (Orthorhombic),26.0
FM Nanoparticle,284.0
Fe,1043.0
Fe (Iron),1043.0
Fe (bcc),1043.0
Fe-32%Cr,1020.0
Fe-Bi2Se3,30.0
Fe-Cr (up to 12.9% Cr),1200.0
Fe-Pt,750.0
Fe-doped TiI3,40.0
Fe-implanted p-GaN,250.0
Fe/Au,1057.0
Fe/FeF2,1043.0
