composition,Tc_sim
Ba0.12Ca0.18La0.7Mn1O3,298.0
Ba0.15Ca0.2La0.6Mn1O3,295.0
Ba0.15La0.65Mn1O3,288.0
Ba0.1Ca0.2La0.7Mn1O3,280.0
Ba0.1Sr0.1Pr0.75Ti0.04Mn0.96Bi0.05O3,275.0
Ba0.1Sr0.2Pr0.7Mn1O3,232.7
Ba0.22Sr0.11La0.67Mn0.9Fe0.1O3,230.0
Ba0.22Sr0.11La0.67Mn1O3,303.0
Ba0.24Ca0.06La0.7Mn1O3,320.0
Ba0.25La0.7Nd0.05Mn0.93Cu0.07O3,229.0
Ba0.25La0.7Nd0.05Mn0.95Cu0.05O3,258.0
Ba0.25La0.7Nd0.05Mn0.97Cu0.03O3,275.0
Ba0.25La0.7Nd0.05Mn1O3,302.0
Ba0.2Ca0.15La0.6Mn1O3,202.0
Ba0.2La0.8Mn0.8Fe0.2O3,125.0
Ba0.2La0.8Mn0.9Fe0.1O3,193.0
Ba0.2La0.8Mn1O3,295.0
Ba0.2Sr0.2La0.6Mn1O3,354.0
Ba0.33La0.67Mn0.85Sn0.15O3,288.0
Ba0.33La0.67Mn0.95Fe0.05O3,271.0
Ba0.33La0.67Mn0.9Cr0.1O3,324.0
Ba0.33La0.67Mn1O3,299.0
Ba0.33La0.67Ti0.02Mn0.98O3,310.0
Ba0.33Nd0.67Mn0.98Fe0.02O3,134.0
Ba0.33Nd0.67Mn1O3,154.5
Ba0.33Pr0.67Mn0.95Fe0.05O3,128.0
Ba0.33Pr0.67Mn1O3,188.0
Ba0.3La0.65Eu0.05Mn1O3,297.0
Ba0.3La0.6Pr0.1Mn0.9Fe0.1O3,277.0
Ba0.3La0.6Pr0.1Mn1O3,215.0
Ba0.3La0.75Nd0.05Mn1O3,325.0
Ba0.3La0.7Mn1O3,336.0
Ba0.5La0.5Mn1O3,270.0
Ba0.5Nd0.5Mn1O3,80.0
Ba0.96Sr0.64La1.4Mn2O7,190.0
Ba1Eu1Co2O5.654,300.0
Ba1La1Co2O5.5,326.0
Ba1Y1Co2O5.5,300.0
BaLa2CuO5,5.0
BaLaMn2O6,335.0
BaLaMnMoO6,145.0
BaPr(CoO3)2,210.0
Ca0.1La0.7Mn1Pb0.33O3,310.0
Ca0.1Pr0.9Mn1O3,100.0
Ca0.23La0.77Mn1O3,220.0
Ca0.25Pr0.75Mn1O3,118.0
Ca0.27Pr0.73Mn1O3,127.0
Ca0.29Pr0.71Mn1O3,114.0
Ca0.2La0.8Mn1O3,230.0
Ca0.32Pr0.68Mn1O3,31.0
Ca0.33La0.33Nd0.33Mn1O3,90.0
Ca0.33La0.57Mn1O3,283.4
Ca0.33La0.603Gd0.067Mn1O3,182.0
Ca0.33La0.61Mn1O3,281.0
Ca0.33La0.62Mn1Bi0.05O3,248.0
Ca0.33La0.62Y0.05Mn1O3,210.0
Ca0.33La0.65Mn1O3,277.0
Ca0.33La0.67Mn0.75Cr0.25O3,191.0
Ca0.33La0.67Mn0.85V0.15O3,287.5
Ca0.33La0.67Mn0.8Fe0.2O3,92.0
Ca0.33La0.67Mn0.95Fe0.05O3,162.0
Ca0.33La0.67Mn0.98Ni0.02O3,244.0
Ca0.33La0.67Mn0.9Co0.1O3,170.0
Ca0.33La0.67Mn0.9Cr0.1O3,215.0
Ca0.33La0.67Mn0.9Ga0.1O3,116.0
Ca0.33La0.67Mn0.9V0.1O3,252.0
Ca0.33La0.67Mn1O3,260.0
Ca0.33La0.6Y0.07Mn1O3,260.0
Ca0.35La0.5Eu0.15Mn1O3,141.0
Ca0.35La0.65Mn1O3,270.0
Ca0.35La0.65Mn1Pb0.35O3,300.0
Ca0.35La0.65Ti0.1Mn0.9O3,103.0
Ca0.35La0.65Ti0.2Mn0.8O3,87.0
Ca0.375La0.35Pr0.275Mn1O3,215.0
Ca0.3La0.39Pr0.32Mn0.98O3,158.0
Ca0.3La0.65Nd0.05Mn0.9Cr0.1O3,220.0
Ca0.3La0.65Nd0.05Mn0.9Fe0.1O3,130.0
Ca0.3La0.65Nd0.05Mn1O3,250.0
Ca0.3La0.6Mn1Ag0.1O3,263.0
Ca0.3La0.6Nd0.1Mn1O3,233.0
Ca0.3La0.7Co1O3,170.0
Ca0.3La0.7Mn0.85Ni0.15O3,170.0
Ca0.3La0.7Mn0.93Fe0.07O3,112.0
Ca0.3La0.7Mn0.94Fe0.06O3,138.0
Ca0.3La0.7Mn0.95Cu0.05O3,197.3
Ca0.3La0.7Mn0.96Fe0.04O3,190.0
Ca0.3La0.7Mn0.9Cu0.1O3,197.3
Ca0.3La0.7Mn0.9Zn0.1O3,206.875
Ca0.3La0.7Mn1O3,251.0
Ca0.3La0.7Ti0.05Mn0.95O3,136.0
Ca0.3La0.7Ti0.1Mn0.9O3,90.0
Ca0.45La0.55Mn1O3,236.0
Ca0.4La0.6Mn1O3,265.0
Ca0.4Pr0.6Mn0.96Fe0.04O3,90.0
Ca0.5La0.5Mn1O3,225.0
Ca0.6La0.4Mn1O3,250.0
Ca0.7La0.3B6,600.0
Ca0.8La0.2B6,600.0
Ca0.99La0.01B6,600.0
Ca0.9La0.1B6,600.0
Ca0.9Pr0.1Mn1O3,110.0
Ca0.9Sm0.1Mn1O3,110.0
Ca1.4La1.6Mn2O7,166.0
Ca1.5La1.5Mn2O7,215.0
Ca1.6La1.2Ce0.2Mn2O7,109.0
Ca1.6La1.2Ho0.2Mn2O7,221.0
Ca1.6La1.2Nd0.2Mn2O7,74.0
Ca1.6La1.2Pr0.2Mn2O7,90.0
Ca1.6La1.2Sm0.2Mn2O7,86.5
Ca1.6La1.2Yb0.2Mn2O7,211.0
Ca1.6La1.4Mn2O7,270.0
Ca1.8La1.2Mn2O7,240.0
Ca2PrNbCr2O9,110.0
Ce0.0313Zn0.9687O1,300.0
Ce0.0417Zn0.9583O1,300.0
Ce0.04Nd0.96Mn1O3,60.0
Ce0.0625Zn0.9375O1,300.0
Ce0.3Nd0.7Mn1O3,65.0
Ce0.75Mn0.25O2,840.0
Ce0.92Mn0.08O2,330.0
Ce11In9Ni4,16.5
Ce11In9Ru4,6.3
Ce17Fe77B6,425.0
Ce17Hf0.75Fe76.25B6,426.0
Ce17Zr0.5Fe77.5B6,420.5
Ce1Al0.05Fe1.95,196.0
Ce1Fe10.5Mo1.5,386.0
Ce1Ga3.25Ag0.75,5.0
Ce1Ga3.35Ag0.65,3.0
Ce1Ge1.25Au0.75,6.0
Ce1In1Ni1H1.8,6.9
Ce23Cd4Ru7,3.6
Ce2Co7,50.0
Ce2Fe14B,428.075
Ce2Fe17,94.0
Ce2Ge3Ir,4.0
Ce2InPd2,4.0
Ce2SnPd2,4.2
Ce3Al11,4.7
Ce3Si11Pt23,0.44
Ce3Sn6Ru,3.0
Ce3Te4,5.0
Ce4Sb3,3.9
Ce5Cr9(Fe25B4)3,295.0
Ce5Gd51(Al6Co5)4,81.0
Ce7Rh3,6.8
CeAgGe,6.0
CeAgSb2,9.6
CeAl2BRu2,13.0
CeAl2GaPd2,1.8
CeAlSi,7.1
CeB2Rh3,115.0
CeCo5,737.0
CeCr8Fe79B12,325.0
CeCrGe3,66.0
CeCrSb3,115.0
CeCuSi,15.5
CeFe2,230.0
CeGe2,4.5
CeGeAu,10.0
CeNdTiFe11,593.0
CeNiSb2,6.0
CeNiSb3,6.0
CePRuO,15.0
CePd,6.5
CePd3S4,6.3
CeSi,6.1
CeTiFe11,487.0
CeTiGe3,14.0
Dy,90.0
Dy(BC)2,15.3
Dy(Fe2Ge)2,988.0
Dy(MnGe)2,40.0
Dy0.25Er0.75Al2,24.0
Dy0.33Ho0.33Er0.33Al2,33.0
Dy117Co58Sn111,30.0
Dy11Ho17(Al6Co5)2,17.0
Dy12Co7,64.0
Dy17Co83,1030.0
Dy2AlCo2,58.0
Dy2AlFeO6,7.8
Dy2CdS4,273.67
Dy2Fe14B,598.0
Dy2Ga3Fe14,557.0
Dy2In,130.0
Dy2Mn5Fe12,232.0
Dy33.3Ho33.3Co33.4,35.0
Dy3Al0.75Co3.25,100.0
Dy3Al2,94.0
Dy3Co,44.0
Dy3Co8Sn3,72.0
Dy3SiNi8,17.0
Dy5(In2Ni)2,105.0
Dy5CuPb3,45.0
Dy5Ge4,46.0
Dy5Ho9Al6Co5,23.0
Dy6FeBi2,134.0
Dy6MnBi2,370.0
Dy9Ho5Al6Co5,23.0
DyAl2,56.0
DyAlCo,37.0
DyAlFe,129.0
DyCo2,140.0
DyCo3B2,22.0
DyCoNi,68.0
DyCu4Au,8.0
DyFeSi,70.0
DyHoAl2,46.0
DyInNi,30.0
DyInPt,38.0
DyMgPt,29.0
DyN,21.0
DyNi2,21.0
DyNi2B2C,10.0
DyNi5,11.6
DySiNi2,16.5
DySiNi4,15.6
DySiPd2,9.0
DyZn,135.0
Er,20.0
Er(MnSi)2,5.5
Er13Co7,12.5
Er1Co1.8Ni0.2,13.0
Er2(Al3Co)3,5.0
Er2AlCo2,32.0
Er2CdCu2,36.0
Er2Fe14Si3,498.0
Er2Fe17,302.0
Er2GaCo2,25.5
Er2GaNi2,7.1
Er2GeRh3,21.0
Er2InCu2,35.7
Er2MgS4,290.0
Er2MgSe4,301.0
Er3AlCu,13.3
Er3CoNi,11.5
Er3Ni2,17.0
Er3Si11Pt23,3.4
Er4CdNi,5.9
Er4MgPd,21.5
Er4MgPt,15.0
Er55(Al3Cu2)9,11.0
Er5Si4,30.0
Er8Tm6Al5Co6,11.0
ErAl2,12.0
ErAl2Ni,5.1
ErAlAg,14.0
ErAlFe,55.0
ErCo2,34.0
ErCoNi,23.0
ErFeSi,22.0
ErGa,30.0
ErInNi,9.0
ErInPt,10.75
ErNi2,6.6
ErNi5,9.0
ErSiRu,8.0
ErZn,20.0
ErZn2,9.0
Eu(AlGe)2,27.5
Eu(AlSi)2,35.5
Eu(Cu2As)2,35.0
Eu(MgH3)2,27.2
Eu0.0625Zn0.9375O1,720.0
Eu14MnSb11,92.0
Eu1Al2.75Zn1.25,25.0
Eu1Cu3.8P2,32.0
Eu2Si5N8,24.0
Eu2SiN3,13.0
Eu3InO,210.0
Eu3S4,3.1
Eu4As3,18.0
Eu4Ga6Ge17,20.4
Eu4Ga6Si2Ge15,20.0
Eu4Ga7Ge16,27.0
Eu4Ga8Ge15,34.7
Eu4Ga8Si2Ge13,31.0
Eu4MnGa7Ge15,29.9
Eu8Ga15NiGe30,32.5
Eu8Mn(GaGe2)15,32.3
EuB6,15.0
EuCdAg,27.0
EuGeAu,33.0
EuIn2Pd,14.5
EuMg2,30.0
EuO,76.5
EuS,16.0
EuSi2(NO)2,4.5
EuSiO4,7.0
EuZnGa3,14.0
GY4Fe5IO12,560.0
Gd,294.0
Gd(Co2B)6,161.0
Gd(CoB)2,25.0
Gd(FeSi)2,8.6
Gd0.04Mn1Co0.96Ge1,300.5
Gd0.1Er0.9Ga1,20.6
Gd0.25Dy0.75Al2,89.0
Gd0.33Dy0.33Ho0.33Al2,84.0
Gd0.5Dy0.5Al2,122.0
Gd0.73Dy0.27,265.0
Gd0.75Dy0.25Al2,141.0
Gd0.8Er0.2Ga1,168.0
Gd1.5In1,160.0
Gd10Dy4Al6Co5,79.0
Gd10FeCo9,289.0
Gd11(Al2Co)3,96.0
Gd11(Al2Fe)3,158.0
Gd11(Al2Ni)3,70.0
Gd11(AlNi2)3,83.0
Gd117Co56.4Sn114.3,70.0
Gd11Al3ZnCo5,127.5
Gd11Al4Co4Ni,105.0
Gd11Al4Co5,110.0
Gd11Al4Fe5,230.0
Gd11Al4Ni5,80.0
Gd11Al5Co4,103.0
Gd11Al5Fe4,190.0
Gd11Cr8(Fe23B4)3,413.0
Gd11Fe2Co7,268.0
Gd12Al3Co5,125.0
Gd12Al5Co3,101.0
Gd12Co13,282.0
Gd12Co7,163.0
Gd13Al3Fe4,182.5
Gd13Mn5Ge2,229.0
Gd13Mn5Si2,234.0
Gd13Mn6Ge,212.0
Gd17Ni8,122.0
Gd1Cd0.8Ru0.2,73.0
Gd1Cd0.9Ru0.1,160.0
Gd1Co0.6Ni0.4,151.0
Gd1Fe0.32Ni1.68,309.0
Gd1Fe0.3Ni2.7,260.0
Gd23Fe73.64Co3.36,500.0
Gd24ZnCo25,263.0
Gd2Al,44.0
Gd2AlCo2,78.0
Gd2CdCu2,120.0
Gd2Co2Ge,143.0
Gd2Co7B3,343.0
