composition,Tc_exp,contains_re
(Al1/6Co1/6Cr1/6Fe1/6Mn1/6Ni1/6)3O4,248.0,False
(AlCrFeNiMn)O,400.0,False
"(Ba,K)(Zn,Mn)2As2",180.0,False
(Ba0.93Fe0.07)TiO3,506.0,False
(C3H7NH3)2MnCl4,39.2,False
(C6H5CH2NH3)2CrBr4,58.0,False
(CH3NH3)2CuCl4,8.85,False
"(Ca,Na)(Zn,Mn)2As2",33.0,False
(Ca1−xLax)2RuO4 (x=0.005),125.0,True
(Ce0.65Pr0.35)2Co7,214.0,True
(Ce0.6La0.4)17Fe75Si3B6,477.0,True
(Ce0.78Y0.17La0.05)16.28Fe_bal.B7.44Co0.22Al1.43Cu0.15Nb0.14,468.15,True
(Ce0.7La0.3)17Fe78B6,465.0,True
(Ce0.81Y0.19)16.28Fe_bal.B7.44Co0.22Al1.43Cu0.15Nb0.14,462.15,True
"(Co,Fe)2Si",1000.0,False
(Co0.2Fe0.8)72.5Si12.5B15,730.0,False
(Co0.5Fe0.5)68Cr10Si8B14,585.0,False
(Co0.5Fe0.5)73.5Nb3Cu1Si13.5B9,773.0,False
(Co0.5Fe0.5)74Cr4Si8B14,729.0,False
(Co0.6Fe0.4)73.5Nb3Cu1Si13.5B9,773.0,False
(Co0.7Fe0.3)73.5Nb3Cu1Si13.5B9,773.0,False
(Co0.8Fe0.2)73.5Nb3Cu1Si13.5B9,773.0,False
(Co0.9Fe0.1)73.5Nb3Cu1Si13.5B9,773.0,False
(Co1Fe0)73.5Nb3Cu1Si13.5B9,773.0,False
(Co94Fe6)72.75Si12.25B10Cr5,730.0,False
(Co94Fe6)72.75Si12.25B11.25Cr3.75,730.0,False
(Co94Fe6)72.75Si12.25B12.75Cr2.25,730.0,False
(Co94Fe6)72.75Si12.25B15Cr0,730.0,False
(Cu/Co)60/Fe,1250.0,False
(Er0.1Y0.8Sm0.2)Fe2,517.0,True
(Er0.2Y0.6Sm0.2)Fe2,529.0,True
(Er0.4Y0.4Sm0.2)Fe2,538.0,True
(Er0.65Y0.35)Co3,410.0,True
(Er0.6Y0.2Sm0.2)Fe2,543.0,True
(Er0.7Ho0.2Dy0.1)55Ni25Al20,3.0,True
(Er0.8Sm0.2)Fe2,547.0,True
"(Fe,Nb)23B6",900.0,False
(Fe0.22Mn0.78)2Nb,42.0,False
(Fe0.45Mn0.55)2Nb,38.0,False
(Fe0.5Co0.5)0.75B0.2Si0.05)96Nb4,696.0,False
(Fe0.5Co0.5)72.7Al0.8Si17.5B5Cu1Nb3,648.15,False
(Fe0.5Co0.5)73.5Cu1Mo3Si13.5B9,728.15,False
(Fe0.5Co0.5)73.5Si13.5B9Nb3Cu1,809.65,False
(Fe0.65Ni0.35)0.89Mn0.11,220.0,False
(Fe0.67Mn0.33)2Nb,60.0,False
(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05)96Nb4,612.5,False
(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05)96Nb4,612.5,False
(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05)96Nb4,612.5,False
(Fe0.6Co0.4)0.75B0.2Si0.05)96Nb4,678.0,False
(Fe0.70Co0.30)2P,450.0,False
(Fe0.75B0.2Si0.05)96Nb4,598.0,False
(Fe0.7Co0.3)0.75B0.2Si0.05)96Nb4,668.0,False
(Fe0.7Co0.3)71B29,935.0,False
(Fe0.7Co0.3)78Mo1B3C7P10Si1,783.0,False
(Fe0.7Mn0.3)2As,400.0,False
(Fe0.85Co0.15)78Mo1B3C7P10Si1,665.0,False
(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05)96Nb4,612.5,False
(Fe0.8Co0.2)0.75B0.2Si0.05)96Nb4,642.0,False
(Fe0.8Co0.2)78Mo1B3C7P10Si1,683.0,False
(Fe0.8Ni0.2)78Si10B12,729.0,False
(Fe0.8Ni0.2)78Si8B14,733.0,False
(Fe0.90Cr0.03Ni0.07)2P,295.0,False
(Fe0.90Mn0.10)2Nb,54.0,False
(Fe0.97Cu0.03)2P,265.0,False
(Fe0.98Mo0.02)3B,780.0,False
(Fe0.99Mo0.01)78Si9B13,665.0,False
(Fe0.9Co0.1)0.75B0.2Si0.05)96Nb4,610.0,False
(Fe0.9Co0.1)74.5Nb2Si17.5B5Cu1,808.15,False
(Fe0.9Nb0.1)76B24,423.35,False
(Fe12Co)79Mo8Cu1B12,375.15,False
(Fe12Co1)79Mo8Cu1B12,375.0,False
(Fe1Co1)76Mo8Cu1B15,600.0,False
(Fe1Co1)79Mo8Cu1B12,808.0,False
(Fe3Ni)81Nb7B12,773.15,False
(Fe53.95Co29.05)83Si1.3B10.7Nb3Cu1Al1,708.15,False
(Fe53.95Co29.05)83Si1.3B11.7Nb3Cu1,682.15,False
(Fe6Ni)81Nb7B12,573.15,False
(Fe70Co30)90Zr10,735.0,False
(Fe83Ga17)97.25Cr2B0.75,973.15,False
(Fe90Co10)80P13C7,652.0,False
(Fe90Co10)82P11C7,656.0,False
(Fe90Co10)82P6C7B3Si2,684.0,False
(Fe90Co10)82P8C7B3,614.0,False
(Fe95Co5)80P13C7,625.0,False
(Fe9Co1)79Mo8Cu1B12,410.0,False
(FeCoNi)4B,673.15,False
"(Ga,Mn)As",110.0,False
(Ga0.97Nd0.03)(Fe0.97Mn0.03)O3,197.3,True
(Ga0.97Nd0.03)(Fe0.98Mn0.02)O3,202.1,True
(Ga0.97Nd0.03)(Fe0.99Mn0.01)O3,219.1,True
"(Gd,Zr)(Fe,Mo,Zr)11.5",475.0,True
(Gd0.2La0.2Nd0.2Sm0.2Y0.2)MnO3,61.0,True
(Gd0.54Zr0.46)(Fe9.88Mo1.50Zr0.13),475.0,True
(Gd0.5Sc0.5)60Al15(Co0.5Ni0.5)25,37.0,True
(Gd0.667Sc0.333)60Al20Co20,66.0,True
(Gd0.6Sc0.4)55Al20(Co0.6Ni0.4)25,51.0,True
(Gd0.6Sc0.4)60Al15(Co0.6Cu0.4)25,58.0,True
(Gd0.6Sc0.4)60Al15(Co0.6Ni0.4)25,58.0,True
(Gd0.6Sc0.4)65Al10(Co0.6Ni0.4)25,68.0,True
(Gd0.7Sc0.3)60Al15(Co0.7Ni0.3)25,77.0,True
(Gd0.80Zr0.20)(Fe10.1Mo1.38Zr0.06),456.0,True
(Gd0.89Zr0.11)(Fe9.99Mo1.11),497.0,True
(Gd0.8Sc0.2)60Al15(Co0.8Ni0.2)25,93.0,True
(Gd0.95Ho0.05)5Si4,320.0,True
(Gd4Co3)85B15,202.0,True
(Gd4Co3)90B10,207.0,True
(Gd4Co3)95B5,211.5,True
"(K,Mn)BaCd2As2",16.0,False
"(La,Y)0.75Ca0.25MnO3",130.0,True
"(La,Y)0.7Ca0.3MnO3",60.0,True
(La0.1Ce0.9)2Fe14B,431.0,True
(La0.25Nd0.75)0.7Ca0.3MnO3,198.0,True
(La0.25Pr0.75)0.7Ca0.3MnO3,110.0,True
(La0.2Ce0.8)2Fe14B,435.0,True
(La0.33Sm0.67)0.67Sr0.24Ba0.09MnO3,125.0,True
(La0.33Sm0.67)0.67Sr0.27Ba0.06MnO3,142.0,True
(La0.33Sm0.67)0.67Sr0.30Ba0.03MnO3,163.0,True
(La0.33Sm0.67)0.67Sr0.32Ba0.01MnO3,178.0,True
(La0.3Ce0.7)2Fe14B,438.0,True
(La0.3Pr0.7)0.65Ca0.35Mn0.90Cr0.10O3,200.0,True
(La0.3Pr0.7)0.65Ca0.35Mn0.95Ru0.05O3,150.0,True
(La0.3Pr0.7)0.65Ca0.35Mn0.97Al0.03O3,75.0,True
(La0.3Pr0.7)0.65Ca0.35Mn0.97Cr0.03O3,200.0,True
(La0.3Pr0.7)0.65Ca0.35Mn0.99Ru0.01O3,120.0,True
(La0.45Nd0.25)Sr0.3MnO3,308.0,True
(La0.47Gd0.2)Sr0.33MnO3,285.9,True
(La0.4Ce0.6)2Fe14B,441.0,True
(La0.56Ce0.14)Sr0.30MnO3,357.0,True
(La0.57Tb0.10)Ca0.33MnO3,160.0,True
(La0.5Ce0.5)2Fe14B,444.0,True
(La0.5Gd0.2)Sr0.3MnO3,270.5,True
(La0.6Eu0.4)0.67Ca0.33MnO3,104.333333333333,True
(La0.757Dy0.243)0.7Ca0.3MnO3,65.0,True
(La0.75Bi0.25)0.67Ca0.33MnO3,184.0,True
(La0.75Dy0.25)0.67Ca0.33Mn0.9V0.1O3,92.5,True
(La0.7Eu0.3)0.75Sr0.25Mn0.9Co0.1O3,165.0,True
(La0.7Eu0.3)0.75Sr0.25Mn0.9Ti0.1O3,102.0,True
(La0.7Pr0.3)0.8Sr0.2Mn0.9Co0.1O3±δ,205.0,True
(La0.825Ca0.1Y0.075)(Zn0.9Mn0.1)AsO,17.0,True
(La0.83Bi0.17)0.67Ca0.33MnO3,200.0,True
(La0.85Ca0.1Y0.05)(Zn0.9Mn0.1)AsO,15.0,True
(La0.85Dy0.15)0.67Ca0.33Mn0.9V0.1O3,107.5,True
(La0.875Ca0.1Y0.025)(Zn0.9Mn0.1)AsO,14.0,True
(La0.9246Mn0.0161)MnO3,267.0,True
(La0.955Mn0.045)MnO3,143.0,True
(La0.95Tb0.05)2/3Ca1/3MnO3,230.0,True
(La0.97Dy0.03)0.67Ca0.33Mn0.9V0.1O3,187.5,True
(La0.9Ca0.1)(Zn0.9Mn0.1)(As0.85Sb0.15)O,10.0,True
(La0.9Ca0.1)(Zn0.9Mn0.1)(As0.8Sb0.2)O,7.5,True
(La0.9Ca0.1)(Zn0.9Mn0.1)(As0.95Sb0.05)O,12.0,True
(La0.9Ca0.1)(Zn0.9Mn0.1)(As0.9Sb0.1)O,11.0,True
(La0.9Tb0.1)2/3Ca1/3MnO3,165.0,True
(La2MnCoO6)0.2(CaCu3Ti4O12)0.8,170.0,True
(La2MnCoO6)0.5(CaCu3Ti4O12)0.5,195.0,True
(La2MnCoO6)0.8(CaCu3Ti4O12)0.2,210.0,True
(Mn0.25Fe0.75)2.9Ga,530.0,False
(Mn0.4Fe0.6)2.9Ga,420.0,False
(Mn0.55Al0.45)B0.02,659.5,False
(Mn0.5Co0.5)65Ge35,286.5,False
(Mn0.5Fe0.5)2.9Ga,345.0,False
(Mn0.6Fe0.4)(Ni0.5Co0.5)Si,290.31,False
(Mn0.6Fe0.4)2.9Ga,230.0,False
(Mn0.7Co0.3)65Sn35,169.0,False
(Mn0.7Fe0.3)2.9Ga,50.0,False
"(Na,Mn)SrCd2As2",13.0,False
(Nd0.3Tb0.7)0.55Sr0.45MnO3,43.0,True
(Nd0.4Pr0.6)8.5Fe84.5Nb0.5Zr0.5B6,583.15,True
(Nd0.4Pr0.6)8.5Fe85.5B6,583.15,True
(Nd0.4Tb0.6)0.55Sr0.45MnO3,50.0,True
(Nd0.5Ce0.5)30.5FebalAl0.1Cu0.1B,520.0,True
(Nd0.5Ce0.5)YFe17,296.0,True
(Nd0.62Ce0.38)2Fe14B,543.0,True
(Nd0.6Ce0.4)YFe17,299.0,True
(Nd0.75Ce0.25)30.5FebalAl0.1Cu0.1B,545.3,True
(Nd0.75Ce0.25)30.5FebalAl0.1Cu0.1B (dual-alloy),549.9,True
(Nd0.78Ce0.22)2Fe14B,561.0,True
(Nd0.7Ce0.3)YFe17,301.0,True
(Nd0.8Ce0.2)1.4Fe12Co2B,692.0,True
(Nd0.8Ce0.2)1.5Fe12Co2B,691.5,True
(Nd0.8Ce0.2)1.6Fe12Co2B,691.1,True
(Nd0.8Ce0.2)1.7Fe12Co2B,691.3,True
(Nd0.8Ce0.2)1.8Fe12Co2B,690.3,True
(Nd0.8Ce0.2)YFe17,310.0,True
(Nd0.8Dy0.2)13(Fe0.875Co0.125)81B6,688.0,True
(Nd0.8Pr0.2)0.4Gd0.6Fe76.9B5.9Co2.9,643.0,True
(Nd0.8Pr0.2)1.0Fe76.9B5.9Al2.9,582.0,True
(Nd0.8Zr0.2)(Fe0.9Co0.1)11.3Ti0.7N1.5,953.0,True
(Nd0.911Ce0.089)2Fe14B,579.0,True
(Nd0.93Y0.07)0.7Sr0.3MnO3,175.0,True
(Nd0.9Ce0.1)YFe17,325.0,True
(Nd0.9Y0.1)2/3Ca1/3MnO3,42.0,True
(Nd2/3La1/3)0.50Sr0.50CoO3,230.0,True
"(Ni,Cu)2MnBO5",75.0,False
(Ni0.15Mn0.10Cu0.25Zn0.5)O(Fe2O3)0.98,86.0,False
(Ni0.17Mn0.08Cu0.25Zn0.5)O(Fe2O3)0.98,97.0,False
(Ni0.19Mn0.06Cu0.25Zn0.5)O(Fe2O3)0.98,109.0,False
(Ni0.21Mn0.04Cu0.25Zn0.5)O(Fe2O3)0.98,122.0,False
(Ni0.23Mn0.02Cu0.25Zn0.5)O(Fe2O3)0.98,134.0,False
(Ni0.25Co0.75)Cr2O4,90.6,False
(Ni0.3Fe0.7)70.5B17.7Si7.8Ti4,590.0,False
(Ni0.4Fe0.6)70.5B17.7Si7.8Ti4,375.0,False
(Ni0.5Co0.5)Cr2O4,89.2,False
(Ni0.5Zn0.5)Fe2O4,543.15,False
(Ni74.5Al25.5)Fe,16.0,False
(Ni74.5Al25.5)Fe 0.2,46.0,False
(Ni74.5Al25.5)Fe 0.5,70.0,False
(Ni74.5Al25.5)Fe 1,79.0,False
(Ni75Ga25)Fe 0.05 at.%,13.4,False
(Ni75Ga25)Fe 0.1 at.%,27.5,False
(Ni75Ga25)Fe 0.2 at.%,41.0,False
(Ni75Ga25)Fe 0.9 at.%,80.0,False
(Ni75Ga25)Fe 1 at.%,85.0,False
(Ni75Ga25)Fe 250 ppm,11.0,False
"(Pr, Nd)14.8Fe78.7B6.5 + 0.3% Al85Cu15",574.15,True
"(Pr, Nd)14.8Fe78.7B6.5 + 0.6% Al85Cu15",574.15,True
"(Pr, Nd)14.8Fe78.7B6.5 + 0.9% Al85Cu15",569.15,True
"(Pr, Nd)14.8Fe78.7B6.5 + 1.2% Al85Cu15",569.15,True
(Pr1/3Sm2/3)2/3Sr1/3Mn0.8Cr0.2O3,150.0,True
(Sc0.35Ti0.65)Fe2,360.0,True
(Sc0.85Ca0.15)Co2,206.0,True
(Sm0.6Y0.4)(Fe0.8Co0.2)11.4Ti0.6,803.0,True
(Sm0.8Y0.2)(Fe0.8Co0.2)11.4Ti0.6,813.0,True
(Sm0.8Y0.2)(Fe0.8Co0.2)11Ti,767.0,True
(Sm0.8Zr0.2)(Fe0.8Co0.2)11.4Ti0.6,798.0,True
(Sm0.9Zr0.1)(Fe0.8Co0.2)11.3Ti0.7,973.0,True
(Sm0.9Zr0.1)Fe11Ti,593.0,True
(Sm1/2Ce1/2)Co5,852.4,True
(Sm1/2Nd1/2)(Co1/3Cu1/3Ni1/3)5,348.0,True
(Sm1/3Ce1/3Nd1/3)(Co1/3Cu1/3Ni1/3)5,234.0,True
(Sm1/3La1/3Ce1/3)Co5,955.3,True
(Sm1/3La1/3Nd1/3)Co5,1004.3,True
(Sm1/3La1/3Pr1/3)Co5,978.8,True
(Sm1/4La1/4Ce1/4Nd1/4)Co5,955.3,True
(Sm1/4La1/4Ce1/4Pr1/4)Co5,820.7,True
(Sm1/4La1/4Pr1/4Nd1/4)Co5,852.4,True
(Sm1/5La1/5Ce1/5Pr1/5Nd1/5)Co5,870.4,True
(Tb0.3Dy0.7)40Fe60,588.15,True
(Tm0.2Pr0.8)2Fe16.5Nb0.5,312.0,True
(Tm0.4Pr0.6)2Fe16.5Nb0.5,314.2,True
(Tm0.6Pr0.4)2Fe16.5Nb0.5,334.3,True
(Tm0.75Pr0.25)2Fe16.5Nb0.5,334.2,True
(Tm0.8Pr0.2)2Fe16.5Nb0.5,334.9,True
(Tm0.9Pr0.1)2Fe16.5Nb0.5,340.2,True
(UH3)0.80Nb0.20,190.0,False
(UH3)0.85Mo0.15,200.0,False
(UH3)0.85Zr0.15,186.0,False
(Y0.8Sm0.2)Fe2,506.0,True
0.3NiFe2O4–0.7Na0.5Bi0.5TiO3,900.0,False
0.55 CoFe2O4 - 0.45 PbTiO3,750.0,False
0.5La0.7Ca0.2Sr0.1MnO3/0.5La0.7Ca0.15Sr0.15MnO3,324.0,True
0.5NiO-0.5Mg,645.0,False
0.65NiO-0.35Ti,645.0,False
0.6BiFeO3-0.4BaTiO3,270.0,False
0.7 CoFe2O4 - 0.3 PbTiO3,750.0,False
0.75BiFeO3-0.25BaTiO3,257.0,False
0.7BiFeO3-0.3BaTiO3,267.0,False
0.7FeTiO3–0.3Fe2O3,300.0,False
0.80(La0.7Sr0.3MnO3)/0.20(SrFe12O19),367.0,True
0.80ZnO-0.20CoFe2O4,370.0,False
0.85 CoFe2O4 - 0.15 PbTiO3,750.0,False
0.875(La0.6Ca0.4MnO3)0.125(La0.6Sr0.4MnO3),290.0,True
0.8BiFeO3-0.2BaTiO3,271.0,False
0.90(La0.7Sr0.3MnO3)/0.10SrFe12O19,367.0,True
0.94La0.7Sr0.3MnO3/0.06TiO2,150.0,True
0.95(La0.7Sr0.3MnO3)/0.05(SrFe12O19),367.0,True
0.9BiFeO3-0.1BaTiO3,255.0,False
1% Ho:Gd0.89La0.1,280.0,True
16MnR,1041.0,False
25% La0.67Sr0.33MnO3 + 75% CoFe2O4,358.0,True
32Nd-4Dy-7Co-1.2B-Fe,715.0,True
32Nd-4Dy-7Co-1Ga-1.2B-Fe,725.0,True
36Nd-1.2B-7Co-Fe,702.0,True
3C-Si35FeC37,300.0,False
50% La0.67Sr0.33MnO3 + 50% CoFe2O4,336.0,True
50NiFe2O4 + 50CoFe2O4,820.15,False
53.5Ni–19.5Fe–27.0Ga,322.0,False
54.0Ni–19.0Fe–27.0Ga,310.0,False
55.0Ni–18.0Fe–27.0Ga,302.0,False
