x_pos,y_pos,ceriumoxidealpha_phase_fraction
-40.0,-40.0,
-40.0,-35.0,
-40.0,-30.0,0.0604
-40.0,-25.0,0.0577
-40.0,-20.0,0.0476
-40.0,-15.0,0.0507
-40.0,-10.0,0.0615
-40.0,-5.0,0.061
-40.0,0.0,0.0638
-40.0,5.0,0.0638
-40.0,10.0,0.0537
-40.0,15.0,0.0581
-40.0,20.0,0.0509
-40.0,25.0,0.0619
-40.0,30.0,0.184
-40.0,35.0,
-40.0,40.0,
-35.0,-40.0,
-35.0,-35.0,0.0
-35.0,-30.0,0.0
-35.0,-25.0,0.0623
-35.0,-20.0,0.0535
-35.0,-15.0,0.0525
-35.0,-10.0,0.0494
-35.0,-5.0,0.0469
-35.0,0.0,0.0479
-35.0,5.0,0.052
-35.0,10.0,0.0594
-35.0,15.0,0.0596
-35.0,20.0,0.0652
-35.0,25.0,0.0591
-35.0,30.0,0.0276
-35.0,35.0,1.0
-35.0,40.0,
-30.0,-40.0,0.0724
-30.0,-35.0,0.0
-30.0,-30.0,0.0583
-30.0,-25.0,0.0464
-30.0,-20.0,0.0486
-30.0,-15.0,0.0446
-30.0,-10.0,0.0439
-30.0,-5.0,0.0232
-30.0,0.0,0.0425
-30.0,5.0,0.0428
-30.0,10.0,0.0449
-30.0,15.0,0.0532
-30.0,20.0,0.0527
-30.0,25.0,0.0646
-30.0,30.0,0.0426
-30.0,35.0,0.0492
-30.0,40.0,1.0
-25.0,-40.0,0.0603
-25.0,-35.0,0.0585
-25.0,-30.0,0.0521
-25.0,-25.0,0.0475
-25.0,-20.0,0.0412
-25.0,-15.0,0.024
-25.0,-10.0,0.0227
-25.0,-5.0,0.0205
-25.0,0.0,0.0201
-25.0,5.0,0.0211
-25.0,10.0,0.0417
-25.0,15.0,0.0435
-25.0,20.0,0.0499
-25.0,25.0,0.0575
-25.0,30.0,0.0663
-25.0,35.0,0.0561
-25.0,40.0,0.0715
-20.0,-40.0,0.0593
-20.0,-35.0,0.0534
-20.0,-30.0,0.0461
-20.0,-25.0,0.0409
-20.0,-20.0,0.0236
-20.0,-15.0,0.0285
-20.0,-10.0,0.0191
-20.0,-5.0,0.0338
-20.0,0.0,0.0213
-20.0,5.0,0.0357
-20.0,10.0,0.0364
-20.0,15.0,0.0393
-20.0,20.0,0.0442
-20.0,25.0,0.0526
-20.0,30.0,0.0601
-20.0,35.0,0.0664
-20.0,40.0,0.0618
-15.0,-40.0,0.0589
-15.0,-35.0,0.0504
-15.0,-30.0,0.0228
-15.0,-25.0,0.0242
-15.0,-20.0,0.0203
-15.0,-15.0,0.0295
-15.0,-10.0,0.0302
-15.0,-5.0,0.0194
-15.0,0.0,0.0323
-15.0,5.0,0.0191
-15.0,10.0,0.0337
-15.0,15.0,0.038
-15.0,20.0,0.0438
-15.0,25.0,0.0463
-15.0,30.0,0.0533
-15.0,35.0,0.0652
-15.0,40.0,0.0625
-10.0,-40.0,0.0512
-10.0,-35.0,0.0478
-10.0,-30.0,0.04
-10.0,-25.0,0.0362
-10.0,-20.0,0.0296
-10.0,-15.0,0.0203
-10.0,-10.0,0.0192
-10.0,-5.0,0.0274
-10.0,0.0,0.0309
-10.0,5.0,0.0316
-10.0,10.0,0.0336
-10.0,15.0,0.0328
-10.0,20.0,0.0391
-10.0,25.0,0.0468
-10.0,30.0,0.0535
-10.0,35.0,0.0215
-10.0,40.0,0.0586
-5.0,-40.0,0.0546
-5.0,-35.0,0.0477
-5.0,-30.0,0.0364
-5.0,-25.0,0.0223
