x_pos,y_pos,a,c,volume,Hc_measured,main_phase_composition,formula,Ms,A,K1,Hc_calculated,Mr_calculated,BHmax_calculated,measured_height,Neff
-30,-40,8.786,12.1686,939.340426,,0.34925,Nd1.301Ce0.699Fe14B,1219432.736,7.242372607,3.628851267,1804772.044,478254.7237,28031.12446,,
-25,-40,8.7842,12.1645,938.6392126,,0.3939,Nd1.212Ce0.788Fe14B,1208317.494,7.110463905,3.459101571,1734363.11,473633.799,27401.13719,,
-20,-40,8.7839,12.1638,938.5210906,,0.4017,Nd1.197Ce0.803Fe14B,1206252.608,7.086150739,3.428833267,1721793.845,472877.4201,27284.94428,,
-15,-40,8.7831,12.1621,938.2190026,,0.42135,Nd1.157Ce0.843Fe14B,1200887.825,7.02325188,3.351901801,1689824.216,470626.5246,26993.97848,615,0.292289988
-10,-40,8.7823,12.1601,937.8938393,556766.2033,0.44295,Nd1.114Ce0.886Fe14B,1194721.077,6.951417179,3.266362598,1654230.097,468129.8584,26653.7059,633,0.286358512
-5,-40,8.7817,12.1588,937.6654376,562213.3709,0.45815,Nd1.084Ce0.916Fe14B,1190211.867,6.89919649,3.205664003,1628937.194,466310.6601,26409.02386,638,0.284753363
0,-40,8.7807,12.1566,937.2822783,552518.3493,0.4822,Nd1.036Ce0.964Fe14B,1182790.194,6.813790179,3.108967423,1588578.144,463317.8678,26004.92107,639,0.28443449
5,-40,8.7798,12.1546,936.9359802,540463.8223,0.5048,Nd0.990Ce1.010Fe14B,1175494.56,6.73047044,3.017587303,1550354.256,460412.2697,25640.34324,625,0.288964733
10,-40,8.7793,12.1534,936.7367769,510435.6059,0.518,Nd0.964Ce1.036Fe14B,1171088.959,6.680451768,2.964080256,1527934.145,458707.1779,25374.3489,606,0.295348837
15,-40,8.7785,12.1517,936.4350618,,0.5365,Nd0.927Ce1.073Fe14B,1164734.789,6.60869054,2.889029896,1496430.433,456027.2778,25041.56151,577,0.305655836
20,-40,8.7775,12.1493,936.0368198,,0.5634,Nd0.873Ce1.127Fe14B,1155120.436,6.500937773,2.780020693,1450554.696,452275.5877,24532.62065,,
25,-40,8.7756,12.145,935.3004818,,0.6109,Nd0.778Ce1.222Fe14B,1137053.903,6.301023302,2.588983361,1369809.919,444889.1536,23630.69576,,
30,-40,8.7674,12.1266,932.1390336,,0.81555,Nd0.369Ce1.631Fe14B,1043121.246,5.308409248,1.835758237,1034757.879,407127.8516,19251.32076,,
-35,-35,8.8,12.2,944.768,,0,Nd2.000Ce0.000Fe14B,1265679.684,7.8106,4.5633,2197011.687,496877.5788,30845.29793,,
-30,-35,8.8,12.2,944.768,,0,Nd2.000Ce0.000Fe14B,1265679.684,7.8106,4.5633,2197011.687,496845.1557,30838.44926,,
-25,-35,8.7848,12.1657,938.8600507,,0.381,Nd1.238Ce0.762Fe14B,1211652.013,7.149850966,3.508788324,1754984.818,474970.3904,27604.47656,,
-20,-35,8.7841,12.1642,938.5946935,599458.6067,0.39785,Nd1.204Ce0.796Fe14B,1207276.401,7.098198179,3.443793732,1728006.54,473202.8214,27341.86671,656,0.279120879
-15,-35,8.7833,12.1625,938.29259,660499.6208,0.41705,Nd1.166Ce0.834Fe14B,1202081.746,7.037216707,3.368814556,1696855.416,471225.4708,27051.62571,668,0.275488069
-10,-35,8.7826,12.1608,938.0119104,647811.4592,0.4361,Nd1.128Ce0.872Fe14B,1196707.351,6.974501281,3.293588242,1665564.67,469230.6814,26759.9432,684,0.270788913
-5,-35,8.7819,12.1592,937.7389967,664964.7925,0.45305,Nd1.094Ce0.906Fe14B,1191740.469,6.916870643,3.226070905,1637443.9,466968.713,26486.89642,706,0.264583333
0,-35,8.7809,12.1569,937.3481075,679362.7457,0.4786,Nd1.043Ce0.957Fe14B,1183923.55,6.826789631,3.123484128,1594642.869,463893.1492,26066.29909,689,0.269353128
