Material|Ms_exp (MA/m)|Aex_exp (pJ/m)|Ku_exp (MJ/m3)|Hc_exp (T)|Hc_mumax3 (T)|cHc (T)|Hc_diff (T)
La2Fe14B|1.09|7.41|1.4|0.50|2.11|0.53|0.03
Ce2Fe14B|0.93|6.00|1.70|0.54|3.14|0.79|0.25
Pr2Fe14B|1.24|7.94|4.66|1.54|6.46|1.62|0.08
Nd2Fe14B|1.27|8.23|4.65|1.24|6.25|1.56|0.32
Gd2Fe14B|0.71|9.33|0.85|0.23|2.40|0.60|0.37
Tb2Fe14B|0.56|8.78|6.13|2.93|21.62|5.41|2.48
Dy2Fe14B|0.56|9.42|4.24|1.70|14.79|3.70|1.99
Ho2Fe14B|0.64|8.14|2.42|0.75|7.26|1.82|1.07
Lu2Fe14B|0.93|7.66|1.21|0.29|2.30|0.58|0.28
Y2Fe14B|1.12|8.01|1.46|0.19|2.16|0.54|0.35
Th2Fe14B|1.12|6.77|1.46|0.17|2.10|0.53|0.36
La2Co14B|0.79|1.50|1.19|0.34|3.06|0.77|0.42
Pr2Co14B|1.04|1.51|5.20|2.50|9.43|2.36|-0.14
Nd2Co14B|1.08|1.51|2.42|3.69|4.22|1.05|-2.64
Gd2Co14B|0.23|1.52|1.03|0.30|9.48|2.37|2.07
Y2Co14B|0.85|1.52|1.19|0.34|2.84|0.71|0.37
SmCo5|0.86|1.20|1.72|7.50|38.80|9.70|2.20
YCo5|0.78|7.11|5.50|3.90|13.33|3.33|-0.57
LaCo5|0.71|6.47|6.30|5.25|16.89|4.22|-1.03
CeCo5|0.60|5.13|6.40|5.70|20.66|5.17|0.57
PrCo5|0.94|6.96|8.10|5.32|16.08|4.02|-1.30
NdCo5|0.93|7.09|0.24|0.15|0.47|0.12|-0.03
