Material|Ms (MA/m)|Aex (pJ/m)|Ku (MJ/m3)|Hc (T)
La2Fe14B|1.098|7.410|1.400|0.500
Ce2Fe14B|0.931|6.000|1.700|0.540
Pr2Fe14B|1.241|7.940|4.660|1.540
Nd2Fe14B|1.273|8.230|4.650|1.240
Gd2Fe14B|0.708|9.330|0.850|0.234
Tb2Fe14B|0.557|8.780|6.130|2.930
Dy2Fe14B|0.565|9.420|4.240|1.700
Ho2Fe14B|0.644|8.140|2.420|0.750
Lu2Fe14B|0.931|7.660|1.210|0.294
Y2Fe14B|1.122|8.010|1.460|0.187
Th2Fe14B|1.122|6.770|1.460|0.170
La2Co14B|0.792|15.000|1.189|0.345
Pr2Co14B|1.040|15.100|5.201|2.500
Nd2Co14B|1.076|15.100|2.422|3.694
Gd2Co14B|0.229|15.200|1.034|0.300
Y2Co14B|0.847|15.201|1.187|0.344
Nd-La-Ce-Fe-B|0.746|6.000|2.250|0.652
La-Ce-Y-Fe-B|0.525|6.000|1.500|0.415
NdPrFe14B|1.273|7.700|4.200|0.800
(Nd0.91Ce0.089)2Fe14B|1.242|8.083|4.500|1.100
(Nd0.78Ce0.22)2Fe14B|1.268|7.864|4.600|1.030
(Nd0.62Ce0.38)2Fe14B|1.200|7.673|3.100|0.900
Nd2Fe14B-alloy|1.129|10.000|4.900|1.420
48H,Nd-Fe-B|1.107|10.000|6.039|1.750
Tb75Cu25|1.081|10.000|10.007|2.900
Tb65Ce10Cu25|1.074|10.000|9.662|2.800
Tb55Ce20Cu25|1.093|10.000|9.662|2.800
Tb45Ce30Cu25|1.097|10.000|9.179|2.660
Tb30Ce45Cu25|1.103|10.000|8.868|2.570
Nd12Fe82B6|1.461|7.651|4.500|1.094
Nd11Ce1Fe82B6|1.354|7.459|4.125|1.040
Nd10Ce2Fe82B6|1.325|7.268|3.750|0.961
Nd8Ce4Fe82B6|1.276|6.886|3.000|0.844
Nd6Ce6Fe82B6|1.208|6.503|2.250|0.768
Nd4Ce8Fe82B6|1.111|6.120|1.950|0.684
Nd2Ce10Fe82B6|1.049|5.738|1.560|0.518
Nd1Ce11Fe82B6|0.905|5.547|1.430|0.405
Ce12Fe82B6|0.751|5.355|1.300|0.315
MnAl(300 K)|0.801|3.484|0.150|0.024
CoPt(300 K)|0.603|6.770|6.062|0.951
FePt(300 K)|1.145|6.660|1.140|0.179
FePd(4 K)|1.192|6.507|1.841|0.289
Fe3Sn|1.180|7.772|1.800|1.483
Fe2.5Mn0.5Sn0.95Sb0.05|1.020|6.893|1.150|0.947
