Compound;Filename;Reference;DOI;La;Ce;Pr;Nd;Sm;Gd;Tb;Dy;Mn;Ni;Fe;Co;B;C;a;c;V;Nfu;muB;mu0Ms (T);mu0Ha (T);Tc (K)
Ce0.1Pr0.3Nd1.6Fe12Co2B;jurczyk1988;Journal of Magnetism and Magnetic Materials 73 (1988) 367-371 ;;0;0.1;0.3;1.6;0;0;0;0;0;0;12;2;1;0;0.8796;1.2167;9.4135611787200003e-28;4.249188935046467e+27;;1.58;6.7;715
Ce0.1Pr0.3Nd1.6Fe14B;jurczyk1988;Journal of Magnetism and Magnetic Materials 73 (1988) 367-371 ;;0;0.1;0.3;1.6;0;0;0;0;0;0;14;0;1;0;0.8805;1.2197;9.4560932092499978e-28;4.2300767467976944e+27;;1.56;6.9;578
Ce2Fe14B;AbacheOesterreicher1986b;J. Appl. Phys. 60, 3671 (1986);10.1063/1.337579;0;2;0;0;0;0;0;0;0;0;14;0;1;0;0.875;1.21;9.2640625e-28;4.3177601619160063e+27;19.80;0.99632415793214957;3;436
Ce2Fe14B;AbacheOesterreicher1985; J. Appl. Phys. 57, 4112 (1985); 10.1063/1.334635 ;0;2;0;0;0;0;0;0;0;0;14;0;1;0;0.87;1.21;9.15849e-28;4.3675322023608695e+27;19.8;1.0078090677986549;3.1;445
Ce2Fe14B;Burzo1998;1998 Rep. Prog. Phys. 61 1099;;0;2;0;0;0;0;0;0;0;0;14;0;1;0;;;;;;1.17;3;
Ce2Fe14B;MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals;J. Appl. Phys. 59 (3) 1 February 1986, 873;;0;2;0;0;0;0;0;0;0;0;14;0;1;0;0.875;1.21;;;;1.17;3;422
Ce2Fe14B;herbst1991;Reviews of Modern Physics, Yol. 63, No. 4, October 1991;https://doi.org/10.1103/RevModPhys.63.819;0;2;0;0;0;0;0;0;0;0;14;0;1;0;0.876;1.211;9.2929233600000007e-28;4.3043505741340794e+27;23.9;1.1988987085561631;2.6;424
Ce2Fe14B;JurczykWallace1986a;;;0;2;0;0;0;0;0;0;0;0;14;0;1;0;0.8767;1.2121;9.3162356296899971e-28;4.2935796806731285e+27;24;1.2009024318568799;3.71;437
Ce2Fe14B;SagawaHirosawaEtal1987d;Japanes journal of applied physics 26 (1987) 785;;0;2;0;0;0;0;0;0;0;0;14;0;1;0;0.8822;1.2338;;;;1.271;3;530
Dy2Fe10Co4B;pedziwiatr1987a;Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ;;0;0;0;0;0;0;0;2;0;0;10;4;1;0;0.868116883116883;1.1909868421052601;8.9755974885459027e-28;4.456527830157881e+27;14.7;0.76346813101921907;18;820
Dy2Fe12Co2B;pedziwiatr1987a;Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ;;0;0;0;0;0;0;0;2;0;0;12;2;1;0;0.871103896;1.1948684210526299;9.0669244238011512e-28;4.4116392869668027e+27;14.8;0.76091941713787825;16.8;725
Dy2Fe14B;kobayashi2012;JOURNAL OF APPLIED PHYSICS 111, 023907 (2012);;0;0;0;0;0;0;0;2;0;0;14;0;1;0;;;;;;0.62;14.778051842486386;
Dy2Fe14B;ChenEtAl1988b; Journal of Applied Physics 64, 5546 (1988); https://doi.org/10.1063/1.342331;0;0;0;0;0;0;0;2;0;0;14;0;1;0;0.8762;1.2022;9.22960726168e-28;4.3338788819405388e+27;13.1;0.66164497917682197;15.1;592
Dy2Fe14B;PourarianJiangZhangEtal1988;J, fo.ppl. Phys., Vol. 64, No. 10, 15 November 1988;;0;0;0;0.5;0;0;0;2;0;0;14;0;1;0;0.8748;1.199;9.1756477295999994e-28;4.3593652654038569e+27;13.5;0.68585764445677544;26.34;586
Dy2Fe14B;herbst1991;Reviews of Modern Physics, Yol. 63, No. 4, October 1991;https://doi.org/10.1103/RevModPhys.63.819;0;0;0;0;0;0;0;2;0;0;14;0;1;0;0.876;1.201;9.21618576e-28;4.3401902958171274e+27;14;0.70813125411045852;15;598
Dy2Fe14B;JurczykWallace1986a;;;0;0;0;0;0;0;0;2;0;0;14;0;1;0;0.8768;1.2026;9.245327114239999e-28;4.3265099769580354e+27;14.1;0.7109413552983942;15.8;592
Dy2Fe14B;Burzo1998;1998 Rep. Prog. Phys. 61 1099;;0;0;0;0;0;0;0;2;0;0;14;0;1;0;;;;;;0.712;15;
Dy2Fe14B;MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals;J. Appl. Phys. 59 (3) 1 February 1986, 873;;0;0;0;0;0;0;0;2;0;0;14;0;1;0;0.876;1.199;9.2008382400000005e-28;4.3474299793797915e+27;;0.712;15;598
Dy2Fe14B;SagawaHirosawaEtal1987d;Japanes journal of applied physics 26 (1987) 785;;0;0;0;0;0;0;0;2;0;0;14;0;1;0;0.876;1.199;;;;0.712;15;598
Dy2Fe14B;pedziwiatr1987a;Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ;;0;0;0;0;0;0;0;2;0;0;14;0;1;0;0.87506493506493499;1.2;9.1888636869623865e-28;4.3530953731258388e+27;14.1;0.71530992434904772;15.8;592
Dy2Fe14C;Burzo1998;1998 Rep. Prog. Phys. 61 1099;;0;0;0;0;0;0;0;2;0;0;14;0;0;1;;;;;;0.62;15.4;
Dy2Fe6Co8B;pedziwiatr1987a;Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ;;0;0;0;0;0;0;0;2;0;0;6;8;1;0;0.86123376623376602;1.18072368421052;8.7577062177737581e-28;4.567406008529954e+27;12;0.63874545144826933;12.8;976
Dy2Fe8Co6B;pedziwiatr1987a;Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ;;0;0;0;0;0;0;0;2;0;0;8;6;1;0;0.86396103896103904;1.1856578947368399;8.8500905355644724e-28;4.5197277744513761e+27;13.5;0.71108743045047584;15.6;916
