System,M_s/theo [T],M_s/exp [T],T_Ctheo MF [K],T_C/theo [K],T_C_exp [K],Type 1=noRE,Stable,source
CeFe12,1.6655,NaN,806,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
CeFe11Ti,1.3181,NaN,675,,485,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423;http://dx.doi.org/10.1063/1.358184
CeFe11Ti,NaN,1.1636,,,487,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
CeFe11TiH,NaN,1.1641999999999999,,,542,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
CeFe11TiH,1.3787,NaN,736,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
CeFe11TiC,1.3083,NaN,908,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
CeFe11TiN,1.4175,NaN,905,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe12,1.6799999999999999,NaN,689,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe11Ti,1.3799999999999999,1.3,,,534,1,y,https://doi.org/10.1016/j.actamat.2022.118473
YFe11Ti,1.3588,1.3416999999999999,727,,538,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423;https://doi.org/10.1088/0953-8984/13/35/321
YFe11TiH,1.3717999999999999,NaN,778,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe11TiC,1.3718999999999999,NaN,884,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe11TiN,1.4669000000000001,NaN,938,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
NdFe11Ti,1.5600000000000001,1.5496000000000001,,,523,2,y,https://doi.org/10.1016/j.actamat.2022.118473
NdFe11TiH,NaN,1.5577000000000001,,,614,2,y,https://doi.org/10.1063/1.1736333
SmFe12,NaN,NaN,,554,555,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe11Ti,1.3,1.1399999999999999,,568,597,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe10Co2,NaN,NaN,,885,859,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe10CoAl,1.4099999999999999,NaN,,665,,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe9Co2Al,1.4199999999999999,NaN,,764,,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe11Ti,1.3100000000000001,1.2837000000000001,,568,567,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5;https://doi.org/10.1063/9.0000860;https://doi.org/10.1038/s41524-022-00821-8
SmFe11TiH,NaN,1.2785,,,634,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
SmFe11Mo,1.49,NaN,684,,551,2,y,https://doi.org/10.3390/cryst14070598
SmFe10Mo2,1.28,1.21,581,,430,2,y,https://doi.org/10.3390/cryst14070598;https://doi.org/10.1063/1.370446
