System,M0_1,s_1,M0_2,s_2,M_s/theo [T] 0K,M_s/exp_[T]_5K,M_s/exp_[T]_300K,T_Ctheo MF [K],T_C/theo [K],T_C_exp_[K],Type 1=noRE,Stable,source
CeFe12,,,,,1.6655,1.7,,806,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423;https://doi.org/10.1016/j.jallcom.2021.161245
CeFe11Ti,,,,,1.3181,,,675,,485,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423;http://dx.doi.org/10.1063/1.358184
CeFe11Ti,1.163749766,0.364550297,1.163754478,0.380245575,,1.1636,1,,,487,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
CeFe11TiH,1.164424665,0.64991567,1.164427578,0.66519647,,1.1642,1.01,,,542,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
CeFe11TiH,,,,,1.3787,,,736,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
CeFe11TiC,,,,,1.3083,,,908,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
CeFe11TiN,,,,,1.4175,,,905,,,2,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe12,,,,,1.68,,,689,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe11Ti,1.30037168,0.945642098,1.300374511,0.962668889,1.38,1.3,1.09,,,534,1,y,https://doi.org/10.1016/j.actamat.2022.118473
YFe11Ti,1.298162585,0.413867977,1.298166278,0.427845742,1.3588,1.298,1.148,727,,538,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423;https://doi.org/10.1088/0953-8984/13/35/321
YFe11TiH,,,,,1.3718,1.353,,778,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe11TiC,,,,,1.3719,,,884,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
YFe11TiN,,,,,1.4669,,,938,,,1,y,http://dx.doi.org/10.1103/PhysRevB.94.024423
NdFe11Ti,1.550222182,1.290349141,1.528298802,1,1.56,1.5496,1.24,,,523,2,y,https://doi.org/10.1016/j.actamat.2022.118473
NdFe11TiH,1.577232347,0.598039643,1.57723501,0.611364521,,1.577,1.4193,,,614,2,y,https://doi.org/10.1063/1.1736333
SmFe12,,,,,,,,,554,555,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe11Ti,1.140730864,2.518869928,1.075918362,1,1.3,1.14,,,568,,,,https://doi.org/10.1038/s41524-022-00821-8
SmFe10Co2,,,,,,,,,885,859,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe10CoAl,,,,,1.41,,,,665,,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe9Co2Al,,,,,1.42,,,,764,,2,y,https://doi.org/10.1038/s41524-022-00821-8
SmFe11Ti,1.284589017,2.518869944,1.211562523,1,1.31,1.2837,,,568,567,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5;https://doi.org/10.1063/9.0000860;https://doi.org/10.1038/s41524-022-00821-8
SmFe11TiH,1.278537609,0.119053595,1.285701402,0.300000001,,1.2785,1.1994,,,634,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
SmFe11Mo,,,,,1.49,,,684,,551,2,y,https://doi.org/10.3390/cryst14070598
SmFe10Mo2,1.211267568,2.518870052,1.142146233,1,1.28,1.21,,581,,430,2,y,https://doi.org/10.3390/cryst14070598;https://doi.org/10.1063/1.370446
SmFe10Mo2H,0.958361559,2.518870007,0.903758955,1,1.29,0.9575,,622,,476,2,y,https://doi.org/10.3390/cryst14070598;https://doi.org/10.1063/1.370446
GdFe11Ti,0.847694772,-0.033934302,0.856778212,0.3,,0.8477,0.801,,,621,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
GdFe11TiH,0.877071094,-0.156097716,0.889375919,0.3,,0.8771,0.84134,,,652,2,y,https://doi.org/10.1016/S0925-8388(98)00409-5
PrFe11Ti,1.099857106,-3.928701588,1.235103716,0.3,,1.1011,1.2584,,,547,2,y,https://doi.org/10.1016/j.jallcom.2004.01.028
PrFe11TiH,1.259037409,-2.123156739,1.349821678,0.3,,1.2597,1.338,,,604,2,y,https://doi.org/10.1016/j.jallcom.2004.01.028
TbFe11Ti,0.703996905,-3.233674289,0.776251039,0.3,,0.7046,0.7852,,,578,2,y,https://iopscience.iop.org/article/10.1088/0953-8984/15/43/021
TbFe11TiH,0.749963431,-2.440557432,0.808980854,0.3,,0.7504,0.81026,,,620,2,y,https://iopscience.iop.org/article/10.1088/0953-8984/15/43/021
DyFe11Ti,0.669708877,-5.214074194,0.770718593,0.3,,0.6707,0.80488,,,552,2,y,http://dx.doi.org/10.1088/0953-8984/18/1/016
DyFe11TiH,0.724336281,-4.756088827,0.821384584,0.3,,0.7252,0.858334,,,600,2,y,http://dx.doi.org/10.1088/0953-8984/18/1/016
HoFe11Ti,0.680378129,-10.43689312,0.850160566,0.3,,0.6825,0.94611,,,533,2,y,https://doi.org/10.1016/S0925-8388(02)01204-5
HoFe11TiH,0.707795092,-10.47451955,0.876362173,0.3,,0.7097,0.983436,,,590,2,y,https://doi.org/10.1016/S0925-8388(02)01204-5
