,composition,material_id,Ms (ampere/meter)_s,has_rare_earth,Ms (ampere/meter)_e_re_augmented,exp-minus-sim
24,Ac2Ce2O5,150,90019.8192132342,True,80522.97344036732,-9496.845772866873
25,Ac2CeAu,882,141123.00305277415,True,277340.71334798064,136217.7102952065
26,Ac2CeGe,511,55284.17815057594,True,51601.5736688825,-3682.6044816934445
27,Ac2CeHg,221,84355.2425242634,True,74849.7272008437,-9505.515323419706
28,Ac2CePd,940,112187.75985054956,True,113237.59868012431,1049.8388295747573
29,Ac2CePt,784,120048.36049905968,True,214678.55443845922,94630.19393939954
58,Ac2LaAu,173,123991.89818399253,True,152925.68141506502,28933.78323107249
59,Ac2LaPt,788,53942.94084786286,True,160028.00499581674,106085.06414795388
71,Ac2NdPd,943,91948.40777051752,True,86925.14397022077,-5023.263800296743
72,Ac2NdPt,922,108554.63668360762,True,92222.2836749958,-16332.353008611826
80,Ac2PmPt,632,93486.8282030083,True,87058.36064668502,-6428.467556323289
81,Ac2PrAu,75,140272.98220540734,True,133724.501676703,-6548.480528704356
82,Ac2PrPd,559,113541.40503915612,True,160186.53315312535,46645.12811396923
83,Ac2PrPt,29,119326.8995104757,True,224985.76841040212,105658.86889992641
96,Ac2Sc2O5,127,52602.658696282,True,53472.90919405992,870.2504977779172
124,Ac3Ce,281,116673.68927654708,True,121396.38251077107,4722.693234223989
126,Ac3Eu,83,466285.2511208268,True,452213.67484828667,-14071.576272540144
127,Ac3La,618,97275.41582146307,True,259281.35705742048,162005.9412359574
140,AcCe3,301,162890.23170270256,True,120902.9506692038,-41987.28103349876
141,AcCeHg2,138,51319.668979077454,True,50123.15274980906,-1196.5162292683963
142,AcCeTe,888,94111.1026920403,True,83235.28883367416,-10875.813858366135
143,AcCeTe2,314,59186.06996893813,True,577785.0901893,518599.0202203619
144,AcCeTl,450,63872.31330461704,True,75451.10156946076,11578.788264843723
172,AcDy2In,41,90960.19562089031,True,88939.6596373608,-2020.5359835295094
173,AcDyGa,846,62487.1614193944,True,61708.27000945846,-778.891409935939
174,AcDyTe,310,90636.76435640718,True,75224.4154732992,-15412.348883107974
175,AcDyTe2,107,68690.20793595356,True,68896.59295899878,206.38502304522262
176,AcDyTl,121,75705.4080435787,True,234667.5717162755,158962.1636726968
177,AcEr2In,954,101917.7488894638,True,147389.06150061818,45471.31261115438
178,AcErGa,579,53902.01535790227,True,83948.11271996982,30046.09736206755
179,AcErTe,378,106390.98297246314,True,118766.40475380993,12375.421781346784
180,AcErTe2,545,75272.25490837177,True,795381.1839574683,720108.9290490965
181,AcEu2O4,148,73133.49451058952,True,69775.5884806907,-3357.906029898819
182,AcEu3,193,1179228.3052011952,True,1182796.3545380712,3568.0493368760217
183,AcEuAu2,809,308959.54397252086,True,328814.7814923285,19855.237519807648
184,AcEuMg2,189,255064.93385711653,True,256306.56837946046,1241.6345223439275
185,AcEuO3,818,106093.80296800644,True,90795.20916361207,-15298.59380439436
186,AcEuZn2,57,288657.8163683141,True,304890.98062773957,16233.16425942548
195,AcGd2Au,108,161336.5111852633,True,151554.51341384937,-9781.997771413939
196,AcGdGa,857,60611.804742618966,True,63183.58496015732,2571.780217538355
197,AcGdTe2,150,66894.50281033255,True,85069.98891507457,18175.486104742027
198,AcGdTl,788,76055.77279347475,True,62877.59930528066,-13178.173488194094
201,AcHoGa,362,61349.00328221937,True,61631.936363216366,282.9330809969979
202,AcHoTe,524,97714.51684420252,True,225845.0741968662,128130.55735266367
203,AcHoTe2,71,74120.19998884939,True,71943.77228037645,-2176.42770847294
204,AcLa2Au,596,143255.54078923448,True,132736.40011017187,-10519.140679062606
205,AcLaTe,946,103544.8584441988,True,118315.78667686875,14770.928232669947
206,AcLaTe2,798,63458.93989630102,True,59786.24279173068,-3672.6971045703394
207,AcLaTl,316,64872.17968035028,True,91119.2468047054,26247.06712435512
208,AcLu2Sn,384,83541.1022894709,True,360720.2190170935,277179.1167276226
209,AcLuTe,412,106681.01878707044,True,63606.70770625229,-43074.31108081815
210,AcLuTe2,879,74800.83247081547,True,53163.07915425928,-21637.75331655619
240,AcNd2Au,481,113914.24421566076,True,126892.60601475611,12978.36179909535
241,AcNdTe,913,99662.6111366822,True,91830.06283568147,-7832.54830100073
242,AcNdTe2,191,58769.79613816159,True,51793.22470680365,-6976.571431357937
243,AcNdTl,918,70181.8115580369,True,1001549.2302635616,931367.4187055246
275,AcPm2Au,445,137913.36626247814,True,138908.1331940253,994.766931547143
276,AcPmGa,160,51434.35886898944,True,829966.7763949545,778532.4175259651
277,AcPmTe,93,101910.06315835525,True,106564.75717033481,4654.694011979562
278,AcPmTe2,427,65372.850946034094,True,211459.53084423012,146086.67989819602
279,AcPmTl,809,72841.90803096062,True,98991.38600028334,26149.477969322717
280,AcPrHg2,894,50410.11240720598,True,51961.5167167261,1551.4043095201196
281,AcPrTe,18,138025.10731718532,True,101123.04744824313,-36902.05986894219
282,AcPrTe2,604,58389.4167414937,True,176811.99921734864,118422.58247585494
283,AcPrTl,821,67148.61532656345,True,55502.10171373209,-11646.51361283136
314,AcScBi,603,94929.62387246887,True,92095.75536687527,-2833.8685055936076
315,AcScSb,112,233965.47794943443,True,223194.56505904818,-10770.912890386244
316,AcScTe,907,199161.938743258,True,361167.87997921545,162005.94123595743
317,AcScTe2,29,120966.31358214,True,118757.12079660797,-2209.192785532039
318,AcSm2Au,894,150510.0314159368,True,124974.90032759708,-25535.131088339724
319,AcSmGa,540,54929.41567674481,True,56543.075922477634,1613.6602457328263
320,AcSmIn,704,68061.62939384203,True,90052.41123112779,21990.78183728576
321,AcSmTe,821,66535.58005263192,True,61578.21469790909,-4957.365354722831
322,AcSmTe2,956,64992.09391118986,True,59377.38722013772,-5614.706691052139
323,AcSmTl,307,74632.34930599653,True,128159.72611821914,53527.37681222262
327,AcTbTe2,301,68128.58399494344,True,93312.8713739921,25184.28737904865
353,AcTm2Pt,157,58425.58625726698,True,1025897.0146319555,967471.4283746886
354,AcTmTe,340,113520.08107117614,True,98052.5972740047,-15467.483797171444
355,AcTmTe2,277,75369.94358408377,True,65746.36280977442,-9623.580774309346
379,AcYGa,294,64311.45133750128,True,443300.4896236889,378989.0382861876
380,AcYTe,222,96155.2563257217,True,54167.97529222294,-41987.28103349876
381,AcYTe2,907,83782.40534259604,True,175697.33916684735,91914.9338242513
382,AcYTl,455,74955.7561598498,True,105777.90499096933,30822.148831119528
383,AcYb2O4,353,75566.2954580447,True,74020.73590319854,-1545.559554846157
384,AcYbO3,763,113875.28520040958,True,107446.68866187168,-6428.596538537895
1272,Ba(CeS2)2,239,106708.24688100583,True,85757.24862633624,-20950.998254669597
1297,Ba10Gd2Y3(Cu3O7)5,346,141747.0833733556,True,140134.46409391132,-1612.619279444276
1298,Ba10GdY4(Cu3O7)5,735,69482.70914160708,True,391753.09990225604,322270.390760649
1302,Ba10Nd4Y(MoO6)5,434,57923.49357151242,True,207785.30156466333,149861.8079931509
1303,Ba10Pr5Ir(Ru2O15)2,664,161694.6122621091,True,150365.9901112294,-11328.622150879703
1305,Ba10Y5(Fe5O12)3,676,658411.0302807611,True,525522.2987209636,-132888.73155979742
1306,Ba12Sm4Al3(CoO6)5,636,194312.1169715867,True,189586.04181768314,-4726.07515390357
1313,Ba20Y10Cu(Ru3O20)3,547,152864.22598644684,True,151968.35288773052,-895.8730987163144
1373,Ba2Ca2EuTi3(CuO7)2,7,199520.8186056689,True,292475.13028928876,92954.31168361986
1389,Ba2CaEr3(NiO5)2,70,113522.91921342148,True,109037.15644003951,-4485.762773381968
1395,Ba2CaY(Co4O7)2,89,635163.3191104258,True,757008.1585496585,121844.83943923272
1396,Ba2CaY2(Fe2O5)2,688,493201.0551623989,True,492819.2046086313,-381.850553767581
1404,Ba2Ce2Ti2Fe(Si4O13)2,154,94603.40093378416,True,84290.07944842307,-10313.321485361084
1405,Ba2Ce3Si3O12F,917,88240.72338892783,True,162614.6406228299,74373.91723390207
1406,Ba2CeAs,158,221225.98608433767,True,240350.7921366511,19124.80605231342
1407,Ba2CeBi,441,193737.5559114455,True,189526.83171352753,-4210.724197917967
1408,Ba2CeCrO6,929,123724.70614734352,True,117015.82859221289,-6708.877555130632
1409,Ba2CeMgNbO6,458,110144.69534379068,True,90093.48220245923,-20051.21314133145
1410,Ba2CePaO6,223,50168.31657669648,True,76793.66148562195,26625.344908925472
1411,Ba2CePb,669,154819.05189892676,True,169872.2466301452,15053.19473121845
1412,Ba2CePrO6,286,50304.00964418444,True,53294.65839957054,2990.6487553860934
1413,Ba2CePuO6,855,211498.93115844304,True,195461.87166997156,-16037.059488471481
1414,Ba2CeSb,2,199711.8953480328,True,173358.75776622994,-26353.137581802846
1415,Ba2CeSn,320,157354.06775325342,True,152949.3791687025,-4404.688584550924
1416,Ba2CeTe,79,181440.0200086331,True,214750.4706544634,33310.45064583031
1417,Ba2CeVO6,842,61553.200603418176,True,202509.0920538227,140955.89145040454
1418,Ba2CeWO6,729,115771.26273567784,True,116821.1015652526,1049.8388295747573
1496,Ba2Dy2Co4O11,701,318675.555961361,True,305540.2299721105,-13135.325989250501
1497,Ba2Dy2O5,537,58778.06021203746,True,86592.31443121948,27814.254219182018
1498,Ba2DyCoCu2O7,223,133361.88011369808,True,136196.66217108953,2834.7820573914505
1499,Ba2DyMgNbO6,7,88754.06830567808,True,86407.54898277245,-2346.5193229056313
1500,Ba2DyMoO6,964,60292.34416805246,True,51904.38869943488,-8387.955468617583
