,composition,material_id,Ms (ampere/meter)_s,has_rare_earth,Ms (ampere/meter)_e_re_free_augmented,exp-minus-sim
0,Ac(CoO2)2,736,104130.56286140664,False,193049.30833994487,88918.74547853823
1,Ac(CuO2)2,241,300206.8208203381,False,1224152.7627111564,923945.9418908183
2,Ac(FeO2)2,24,867219.4620671746,False,839697.5379432865,-27521.924123888137
3,Ac(GeO2)2,742,77015.4147899853,False,288178.04932316294,211162.63453317765
4,Ac(HgO2)2,115,76045.78885396691,False,964275.2332128953,888229.4443589285
5,Ac(MoO2)2,224,450073.3641352286,False,446631.43708784896,-3441.927047379664
6,Ac(NiO2)2,18,305831.3323107174,False,287838.86826068745,-17992.46405002993
7,Ac(OsO2)2,758,94228.55465075014,False,71773.38205759287,-22455.172593157273
8,Ac(PbO2)2,129,68658.91128483858,False,57047.04119385379,-11611.870090984798
9,Ac(PdO2)2,480,93285.5240050397,False,93182.92422147382,-102.59978356587817
10,Ac(ReO2)2,584,277893.3179431484,False,260061.3495040426,-17831.96843910578
11,Ac(RhAu)2,410,69199.5354698756,False,53059.108208168924,-16140.427261706674
12,Ac(RuO2)2,484,95757.57645291182,False,98946.01012944894,3188.4336765371263
13,Ac(SnO2)2,597,72654.66030940415,False,81595.68390042045,8941.023591016303
14,Ac(TcO2)2,840,281997.01308329246,False,278027.1147696503,-3969.8983136421884
15,Ac(WO2)2,18,341479.32257664605,False,337895.81442379113,-3583.50815285492
16,Ac2AgTe,832,68970.67952134987,False,218723.64554756138,149752.9660262115
17,Ac2AsAu,693,81778.77857726958,False,61920.614939599414,-19858.163637670164
18,Ac2AsOs,366,84549.0661514254,False,83752.76868116819,-796.2974702572101
19,Ac2AsPd,208,56340.42700700407,False,190935.06678004892,134594.63977304485
20,Ac2BTe,174,68439.04210748638,False,66231.85152579453,-2207.190581691859
21,Ac2BiAu,664,66562.18360101731,False,60281.802386207346,-6280.381214809968
22,Ac2BiPd,447,59982.00086937291,False,122529.07247528891,62547.071605916
23,Ac2BiRu,113,57771.49636065198,False,132380.93264136772,74609.43628071574
30,Ac2Cl3,226,72310.61334518563,False,107178.14420342127,34867.53085823564
31,Ac2Co2O5,544,57067.90818479594,False,56500.820035561635,-567.0881492343033
32,Ac2CoHg,444,59110.05114994289,False,145700.81158575535,86590.76043581247
33,Ac2CoPb,768,76072.62398651788,False,57977.35253957128,-18095.2714469466
34,Ac2CoSn,471,78791.60624689699,False,82889.25928205911,4097.653035162119
35,Ac2Cr2O5,750,500807.8157992781,False,325119.9119938316,-175687.90380544646
36,Ac2CrAs,731,276598.0127918673,False,246962.65253600985,-29635.360255857464
37,Ac2CrAu,516,300536.8746211208,False,297657.42475290183,-2879.4498682189733
38,Ac2CrBi,522,244741.80848704765,False,275505.4107290319,30763.60224198425
39,Ac2CrPd,304,310831.8091504497,False,1234777.751041268,923945.9418908183
40,Ac2CrPt,190,326367.06121750164,False,345264.947517747,18897.886300245358
41,Ac2CrSb,574,243764.3439571442,False,236917.86889452132,-6846.475062622892
42,Ac2CrSn,259,301150.4357294848,False,310399.4429923906,9249.007262905827
43,Ac2CrTe,665,269317.323069388,False,281460.0238846772,12142.700815289223
44,Ac2Cu2O5,202,67990.48952286906,False,64631.340430580894,-3359.149092288164
45,Ac2F,409,50697.25502082585,False,62863.61532236026,12166.360301534412
46,Ac2F3,831,218646.844120982,False,219035.08491890162,388.2407979196287
47,Ac2Fe2O5,835,593076.9160588931,False,605983.6459867398,12906.729927846696
48,Ac2FeAs,793,103855.14598229452,False,93693.7012737857,-10161.444708508818
49,Ac2FeAu,349,142650.55392112755,False,132929.78646149865,-9720.7674596289
50,Ac2FeBi,73,94091.96062181312,False,483575.7928122429,389483.83219042973
51,Ac2FeSb,853,96479.6338594937,False,107312.13145538738,10832.497595893685
52,Ac2FeSn,1,153980.85834148177,False,138228.6323613869,-15752.225980094867
53,Ac2FeTe,99,106112.87620667218,False,108069.75557446717,1956.879367794987
54,Ac2GeAu,810,51469.69246321932,False,249768.21054868,198298.5180854607
55,Ac2Hf2O5,105,61689.879404325446,False,237523.18761488376,175833.30821055832
56,Ac2Hg3(AuO4)3,420,76181.80299455885,False,79996.74661936742,3814.9436248085694
57,Ac2I3,140,60830.39461762841,False,448076.1797573745,387245.7851397461
60,Ac2Mn2O5,372,613665.2285768243,False,232484.9258843172,-381180.3026925071
61,Ac2MnAs,761,209459.2111586673,False,197437.31024755078,-12021.900911116536
62,Ac2MnBi,92,209481.54357315652,False,258578.1517548157,49096.60818165919
63,Ac2MnPt,231,304427.54389530217,False,303986.67385457334,-440.870040728827
64,Ac2MnRh,647,296936.5907523029,False,415359.17322815786,118422.58247585496
65,Ac2MnSb,556,227759.91097796423,False,304734.57858095074,76974.6676029865
66,Ac2MnSn,863,226197.76155373605,False,227769.59541248227,1571.8338587462204
67,Ac2MnTe,971,256094.9734421188,False,260455.70240265434,4360.728960535547
68,Ac2Mo2O5,406,161820.09535865064,False,142070.32827079276,-19749.76708785788
69,Ac2N3,233,267868.70487091405,False,445623.5664336213,177754.86156270723
70,Ac2Nb2O5,149,170928.34570170642,False,166370.8924216053,-4557.453280101123
