,composition,filename,reference,DOI,la,ce,pr,nd,sm,gd,tb,dy,mn,ni,fe,co,b,c,lattice_a,lattice_c,lattice_v,nfu,muB,mu0Ms,mu0Ha,Tc,material_id
0,Ce0.1Pr0.3Nd1.6Fe12Co2B,jurczyk1988,Journal of Magnetism and Magnetic Materials 73 (1988) 367-371 ,,0.0,0.1,0.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8796,1.2167,9.413561178719999e-28,4.249188935046467e+27,,1.58,6.7,715.0,0
1,Ce0.1Pr0.3Nd1.6Fe14B,jurczyk1988,Journal of Magnetism and Magnetic Materials 73 (1988) 367-371 ,,0.0,0.1,0.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8805,1.2197,9.456093209249996e-28,4.2300767467976944e+27,,1.56,6.9,578.0,1
2,Ce2Fe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337579,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.875,1.21,9.2640625e-28,4.3177601619160063e+27,19.8,0.9963241579321496,3.0,436.0,2
3,Ce2Fe14B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.87,1.21,9.15849e-28,4.3675322023608695e+27,19.8,1.0078090677986549,3.1,445.0,3
5,Ce2Fe14B,MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals,"J. Appl. Phys. 59 (3) 1 February 1986, 873",,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.875,1.21,,,,1.17,3.0,422.0,5
6,Ce2Fe14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.876,1.211,9.292923359999999e-28,4.30435057413408e+27,23.9,1.198898708556163,2.6,424.0,6
7,Ce2Fe14B,JurczykWallace1986a,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8767,1.2121,9.316235629689995e-28,4.2935796806731285e+27,24.0,1.20090243185688,3.71,437.0,7
8,Ce2Fe14B,SagawaHirosawaEtal1987d,Japanes journal of applied physics 26 (1987) 785,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8822,1.2338,,,,1.271,3.0,530.0,8
9,Dy2Fe10Co4B,pedziwiatr1987a,Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0,1.0,0.0,0.868116883116883,1.19098684210526,8.975597488545901e-28,4.456527830157881e+27,14.7,0.763468131019219,18.0,820.0,9
10,Dy2Fe12Co2B,pedziwiatr1987a,Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,1.0,0.0,0.871103896,1.19486842105263,9.066924423801151e-28,4.411639286966802e+27,14.8,0.7609194171378783,16.8,725.0,10
