composition,Tc_sim,Tc_exp,contains_rare_earth,use_for_emb
"(2Mn, Ga) co-doped LiNbO3",304.9,,False,False
(Al1/6Co1/6Cr1/6Fe1/6Mn1/6Ni1/6)3O4,,248.0,False,False
"(Ba,K)(Zn,Mn)2As2",230.0,180.0,False,False
"(Bi,Mn)2O2Se",30.0,,False,False
"(Ca,Na)(Zn,Mn)2As2",,33.0,False,False
(Ca1−xLax)2RuO4 (x=0.005),,125.0,True,False
(Ce0.78Y0.17La0.05)16.28Fe_bal.B7.44Co0.22Al1.43Cu0.15Nb0.14,,468.15,True,False
(Ce0.81Y0.19)16.28Fe_bal.B7.44Co0.22Al1.43Cu0.15Nb0.14,,462.15,True,False
"(Co,Fe)2Si",,1000.0,False,False
(Co0.5Fe0.5)78-xCrxSi8B14,,825.0,False,False
(Cu/Co)60/Fe,,1250.0,False,False
"(Fe,Nb)23B6",,900.0,False,False
(Fe0.5Co0.5)0.75B0.2Si0.05)96Nb4,,696.0,False,False
(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05)96Nb4,,612.5,False,False
(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05)96Nb4,,612.5,False,False
(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05)96Nb4,,612.5,False,False
(Fe0.6Co0.4)0.75B0.2Si0.05)96Nb4,,678.0,False,False
(Fe0.7Co0.3)0.75B0.2Si0.05)96Nb4,,668.0,False,False
(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05)96Nb4,,612.5,False,False
(Fe0.8Co0.2)0.75B0.2Si0.05)96Nb4,,642.0,False,False
(Fe0.9Co0.1)0.75B0.2Si0.05)96Nb4,,610.0,False,False
"(Ga,Mn)As",180.0,110.0,False,False
"(Ga,Mn)N",20.0,,False,False
"(Gd,Zr)(Fe,Mo,Zr)11.5",,475.0,True,False
"(K,Mn)BaCd2As2",,16.0,False,False
"(La,Y)0.75Ca0.25MnO3",,130.0,True,False
"(La,Y)0.7Ca0.3MnO3",,60.0,True,False
(La0.7Pr0.3)0.8Sr0.2Mn0.9Co0.1O3±δ,,205.0,True,False
(La0.95Tb0.05)2/3Ca1/3MnO3,,230.0,True,False
(La0.9Dy0.1)2/3Ca1/3MnO3,176.0,,True,False
(La0.9Gd0.1)2/3Ca1/3MnO3,182.0,,True,False
(La0.9Tb0.1)2/3Ca1/3MnO3,,165.0,True,False
