#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
(0.85)YMnO3/0.15ZnFe2O4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,False,exp-sim
(0.90)YMnO3/0.10ZnFe2O4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,False,exp-sim
(0.95)YMnO3/0.05ZnFe2O4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,False,exp-sim
(1-x)BiFeO3-xPb(Mg1/3Nb2/3)O3 (x=0.1),,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(1-x)BiFeO3-xPb(Mg1/3Nb2/3)O3 (x=0.2),,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(1-x)BiFeO3-xPb(Mg1/3Nb2/3)O3 (x=0.3),,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
"(2Mn, Ga) co-doped LiNbO3",304.9,304.9,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Al1/6Co1/6Cr1/6Fe1/6Mn1/6Ni1/6)3O4,,,,,,248.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(AlCrFeNiMn)O,,,,,,400.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
"(Ba,K)(Zn,Mn)2As2",230.0,230.0,,,,180.0,,,,,-50.0,Tc_sim available in: Nemad,Tc_exp available in: Nemad,False,True,False,exp-sim
(Ba0.93Fe0.07)TiO3,,,,,,506.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(BaF)2Mn2Se2O,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Benzo-TTFVS)2FeBr4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
"(Bi,Mn)2O2Se",30.0,30.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Bi10.08Co13.92)Co2O40,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H14NH3)2Fe0.15Cd0.85Cl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H14NH3)2Fe0.1Cd0.9Cl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H14NH3)2Fe0.2Cd0.8Cl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H14NH3)2Fe0.4Cd0.6Cl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H14NH3)2Fe0.6Cd0.4Cl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H14NH3)2Fe0.8Cd0.2Cl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H14NH3)2FeCl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C12H25NH3)2CuCl4,13.0,13.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(C2H5NH3)2CoCl4,2.0,2.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(C2H5NH3)2CuCl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C3H7NH3)2MnCl4,,,,,,39.2,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(C6H11NH3)CuBr3,7.43,7.43,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(C6H11NH3)CuCl3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(C6H5CH2NH3)2CrBr4,,,,,,58.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(CH2)10(NH3)2FeCl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(CH3NH3)2CuCl4,8.9,8.9,,,,8.85,,,,,-0.05000000000000071,Tc_sim available in: Nemad,Tc_exp available in: Nemad,False,False,False,exp-sim
"(Ca,Na)(Zn,Mn)2As2",,,,,,33.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Ca1−xLax)2RuO4 (x=0.005),,,,,,125.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Ce0.65Pr0.35)2Co7,,,,,,214.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Ce0.6La0.4)17Fe75Si3B6,,,,,,477.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Ce0.78Y0.17La0.05)16.28Fe_bal.B7.44Co0.22Al1.43Cu0.15Nb0.14,,,,,,468.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Ce0.7La0.3)17Fe78B6,,,,,,465.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Ce0.81Y0.19)16.28Fe_bal.B7.44Co0.22Al1.43Cu0.15Nb0.14,,,,,,462.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(CeS)1.15NbS2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,False,exp-sim
"(Co,Fe)2Si",,,,,,1000.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.2Cu0.2Mg0.2Ni0.2Zn0.2)O,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Co0.2Fe0.8)72.5Si12.5B15,,,,,,730.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)68Cr10Si8B14,,,,,,585.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)73.5Nb3Cu1Si13.5B9,,,,,,773.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)74Cr4Si8B14,,,,,,729.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)78-xCrxSi8B14,,,,,,825.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
